caseid,statefip,famincome,age,sex,empstat,fullpart,act_work,act_social,act_sports,act_leisure
2.01401E+13,North Carolina,"$50,000 to $59,999",57,Female,Employed - at work,Full time,0,303,0,303
2.01401E+13,New York,"$30,000 to $34,999",62,Female,Employed - at work,Full time,0,435,0,435
2.01401E+13,California,"$75,000 to $99,999",55,Female,Employed - at work,Full time,456,90,0,90
2.01401E+13,Florida,"$40,000 to $49,999",58,Male,Employed - at work,Full time,430,296,0,296
2.01401E+13,Massachusetts,"$100,000 to $149,999",60,Male,Employed - at work,Full time,720,0,0,0
2.01401E+13,California,"$75,000 to $99,999",62,Female,Employed - absent,Part time,250,230,0,230
2.01401E+13,Arizona,"$20,000 to $24,999",65,Female,Employed - absent,Full time,0,275,0,275
2.01401E+13,Indiana,"$20,000 to $24,999",50,Female,Employed - at work,Full time,480,135,0,135
2.01401E+13,Louisiana,"$75,000 to $99,999",58,Male,Employed - at work,Full time,470,0,0,0
2.01401E+13,Texas,"$40,000 to $49,999",61,Male,Employed - absent,Full time,0,902,0,902
2.01401E+13,Massachusetts,"$40,000 to $49,999",67,Female,Employed - at work,Full time,0,290,95,385
2.01401E+13,Wisconsin,"$12,500 to $14,999",50,Female,Employed - at work,Full time,590,30,0,30
2.01401E+13,Florida,"$75,000 to $99,999",72,Female,Employed - at work,Part time,0,312,0,312
2.01401E+13,California,"$50,000 to $59,999",57,Female,Employed - at work,Part time,230,30,0,30
2.01401E+13,Florida,"$60,000 to $74,999",60,Male,Employed - at work,Full time,0,755,0,755
2.01401E+13,Texas,"$60,000 to $74,999",66,Female,Employed - at work,Full time,510,0,0,0
2.01401E+13,Michigan,"$35,000 to $39,999",58,Female,Employed - at work,Full time,0,562,0,562
2.01401E+13,Tennessee,"$25,000 to $29,999",52,Male,Employed - at work,Full time,0,331,0,331
2.01401E+13,Missouri,"$25,000 to $29,999",25,Male,Employed - at work,Full time,480,90,0,90
2.01401E+13,New York,"$60,000 to $74,999",55,Female,Employed - at work,Full time,0,280,0,280
2.01401E+13,Texas,"$100,000 to $149,999",58,Male,Employed - at work,Full time,535,330,0,330
2.01401E+13,Alabama,"$40,000 to $49,999",22,Female,Employed - at work,Part time,118,456,0,456
2.01401E+13,New York,"$150,000 and over",56,Male,Employed - at work,Full time,0,260,80,340
2.01401E+13,Indiana,"$40,000 to $49,999",60,Female,Employed - at work,Full time,505,180,0,180
2.01401E+13,South Dakota,"$50,000 to $59,999",66,Male,Employed - at work,Full time,152,423,0,423
2.01401E+13,New Jersey,"$30,000 to $34,999",52,Female,Employed - at work,Part time,410,345,0,345
2.01401E+13,Pennsylvania,"$35,000 to $39,999",60,Female,Employed - at work,Full time,60,80,0,80
2.01401E+13,Texas,"$40,000 to $49,999",60,Female,Employed - at work,Full time,60,240,0,240
2.01401E+13,Florida,"$40,000 to $49,999",51,Female,Employed - at work,Full time,705,110,0,110
2.01401E+13,Pennsylvania,"$100,000 to $149,999",55,Female,Employed - at work,Part time,390,120,0,120
2.01401E+13,Texas,"$60,000 to $74,999",52,Female,Employed - at work,Full time,0,415,0,415
2.01401E+13,Louisiana,"$75,000 to $99,999",58,Male,Employed - at work,Full time,830,30,0,30
2.01401E+13,Ohio,"$50,000 to $59,999",59,Female,Employed - at work,Full time,480,280,0,280
2.01401E+13,California,"$100,000 to $149,999",85,Male,Employed - at work,Full time,570,180,0,180
2.01401E+13,Oregon,"$100,000 to $149,999",71,Female,Employed - at work,Part time,0,375,0,375
2.01401E+13,Washington,"$60,000 to $74,999",56,Female,Employed - absent,Full time,788,135,0,135
2.01401E+13,Georgia,"$150,000 and over",52,Male,Employed - at work,Full time,900,120,0,120
2.01401E+13,Indiana,"$5,000 to $7,499",69,Female,Employed - at work,Part time,0,480,0,480
2.01401E+13,North Carolina,"$20,000 to $24,999",76,Male,Employed - absent,Part time,120,330,0,330
2.01401E+13,Vermont,"Less than $5,000",24,Female,Employed - at work,Full time,460,60,0,60
2.01401E+13,Arizona,"$75,000 to $99,999",28,Female,Employed - at work,Full time,900,95,0,95
2.01401E+13,California,"$75,000 to $99,999",37,Female,Employed - at work,Full time,520,0,0,0
2.01401E+13,Washington,"$75,000 to $99,999",63,Male,Employed - at work,Full time,180,527,0,527
2.01401E+13,Wisconsin,"$30,000 to $34,999",55,Female,Employed - at work,Full time,485,105,25,130
2.01401E+13,Pennsylvania,"$10,000 to $12,499",71,Female,Employed - at work,Part time,0,340,0,340
2.01401E+13,Alabama,"$25,000 to $29,999",56,Male,Employed - at work,Part time,120,205,0,205
2.01401E+13,District of Columbia,"$40,000 to $49,999",51,Male,Employed - at work,Full time,495,295,0,295
2.01401E+13,Maryland,"$60,000 to $74,999",50,Male,Employed - at work,Full time,495,120,0,120
2.01401E+13,New York,"$75,000 to $99,999",59,Female,Employed - at work,Full time,762,105,0,105
2.01401E+13,Massachusetts,"$50,000 to $59,999",55,Male,Employed - at work,Full time,485,110,0,110
2.01401E+13,New York,"$25,000 to $29,999",70,Female,Employed - at work,Part time,253,304,0,304
2.01401E+13,Oregon,"$75,000 to $99,999",69,Male,Employed - at work,Part time,0,360,0,360
2.01401E+13,Florida,"$75,000 to $99,999",50,Female,Employed - at work,Full time,462,255,0,255
2.01401E+13,Texas,"$100,000 to $149,999",67,Female,Employed - at work,Full time,0,595,0,595
2.01401E+13,California,"$100,000 to $149,999",52,Male,Employed - at work,Full time,30,380,0,380
2.01401E+13,California,"$100,000 to $149,999",62,Female,Employed - at work,Full time,0,290,0,290
2.01401E+13,Minnesota,"$50,000 to $59,999",55,Male,Employed - at work,Part time,0,325,0,325
2.01401E+13,Pennsylvania,"$60,000 to $74,999",55,Female,Employed - at work,Full time,768,150,0,150
2.01401E+13,California,"$100,000 to $149,999",55,Male,Employed - at work,Full time,463,260,58,318
2.01401E+13,Florida,"$150,000 and over",57,Female,Employed - absent,Part time,0,180,135,315
2.01401E+13,Colorado,"$12,500 to $14,999",62,Female,Employed - at work,Part time,315,220,0,220
2.01401E+13,Iowa,"$75,000 to $99,999",52,Male,Employed - at work,Full time,619,90,0,90
2.01401E+13,Texas,"$75,000 to $99,999",61,Male,Employed - at work,Full time,375,165,0,165
2.01401E+13,Louisiana,"$20,000 to $24,999",59,Female,Employed - at work,Part time,451,278,0,278
2.01401E+13,Wisconsin,"$50,000 to $59,999",57,Male,Employed - at work,Full time,0,615,0,615
2.01401E+13,West Virginia,"$20,000 to $24,999",54,Female,Employed - at work,Part time,0,445,0,445
2.01401E+13,Florida,"$75,000 to $99,999",30,Male,Employed - absent,Full time,15,305,60,365
2.01401E+13,Texas,"$35,000 to $39,999",60,Female,Employed - at work,Full time,542,30,0,30
2.01401E+13,Iowa,"$40,000 to $49,999",22,Female,Employed - at work,Part time,55,260,0,260
2.01401E+13,South Carolina,"$150,000 and over",68,Male,Employed - at work,Part time,363,290,0,290
2.01401E+13,New York,"$75,000 to $99,999",62,Female,Employed - at work,Full time,470,105,0,105
2.01401E+13,Ohio,"$100,000 to $149,999",52,Male,Employed - at work,Part time,0,573,0,573
2.01401E+13,Mississippi,"$20,000 to $24,999",54,Male,Employed - at work,Full time,460,311,0,311
2.01401E+13,Alabama,"$20,000 to $24,999",51,Male,Employed - at work,Full time,0,670,0,670
2.01401E+13,Arkansas,"$30,000 to $34,999",59,Male,Employed - at work,Full time,475,60,0,60
2.01401E+13,Maryland,"$100,000 to $149,999",56,Female,Employed - at work,Full time,460,145,0,145
2.01401E+13,Pennsylvania,"$30,000 to $34,999",59,Female,Employed - at work,Full time,0,120,0,120
2.01401E+13,South Carolina,"$12,500 to $14,999",63,Male,Employed - absent,Full time,0,1140,0,1140
2.01401E+13,Kentucky,"$100,000 to $149,999",50,Female,Employed - at work,Full time,475,115,0,115
2.01401E+13,Minnesota,"$150,000 and over",57,Female,Employed - at work,Part time,390,205,0,205
2.01401E+13,Texas,"$30,000 to $34,999",55,Female,Employed - at work,Full time,510,220,0,220
2.01401E+13,Indiana,"$100,000 to $149,999",52,Male,Employed - at work,Full time,484,210,0,210
2.01401E+13,North Carolina,"$35,000 to $39,999",54,Female,Employed - at work,Full time,699,20,0,20
2.01401E+13,Texas,"$60,000 to $74,999",60,Male,Employed - at work,Full time,0,60,150,210
2.01401E+13,Colorado,"$100,000 to $149,999",50,Female,Employed - at work,Full time,415,0,65,65
2.01401E+13,California,"$50,000 to $59,999",56,Female,Employed - at work,Full time,480,140,0,140
2.01401E+13,Texas,"$5,000 to $7,499",59,Female,Employed - at work,Part time,0,300,0,300
2.01401E+13,North Carolina,"$150,000 and over",55,Female,Employed - at work,Full time,0,315,60,375
2.01401E+13,Pennsylvania,"$30,000 to $34,999",67,Female,Employed - at work,Part time,0,240,0,240
2.01401E+13,New York,"$40,000 to $49,999",60,Male,Employed - at work,Full time,570,85,75,160
2.01401E+13,California,"$50,000 to $59,999",62,Male,Employed - at work,Full time,480,201,0,201
2.01401E+13,Missouri,"$20,000 to $24,999",55,Female,Employed - at work,Full time,495,35,0,35
2.01401E+13,Texas,"$150,000 and over",60,Male,Employed - at work,Full time,678,45,0,45
2.01401E+13,Arizona,"$10,000 to $12,499",55,Male,Employed - at work,Full time,240,240,0,240
2.01401E+13,Florida,"$50,000 to $59,999",67,Male,Employed - at work,Part time,147,624,0,624
2.01401E+13,Pennsylvania,"$50,000 to $59,999",55,Female,Employed - at work,Full time,0,590,0,590
2.01401E+13,Georgia,"$60,000 to $74,999",55,Male,Employed - at work,Full time,652,185,0,185
2.01401E+13,Florida,"$100,000 to $149,999",20,Female,Employed - at work,Part time,375,105,0,105
2.01401E+13,Kansas,"$50,000 to $59,999",60,Female,Employed - absent,Full time,0,325,0,325
2.01401E+13,Alabama,"$100,000 to $149,999",57,Female,Employed - at work,Full time,0,425,0,425
2.01401E+13,New Jersey,"$10,000 to $12,499",56,Male,Employed - at work,Part time,350,430,0,430
2.01401E+13,Illinois,"$40,000 to $49,999",56,Female,Employed - at work,Full time,480,75,0,75
2.01401E+13,California,"$5,000 to $7,499",64,Female,Employed - at work,Part time,0,195,0,195
2.01401E+13,Oklahoma,"$150,000 and over",66,Male,Employed - at work,Full time,0,185,90,275
2.01401E+13,New Jersey,"$75,000 to $99,999",57,Female,Employed - at work,Full time,568,40,60,100
2.01401E+13,Missouri,"$50,000 to $59,999",76,Female,Employed - at work,Part time,0,680,0,680
2.01401E+13,New York,"$150,000 and over",75,Female,Employed - at work,Part time,0,60,0,60
2.01401E+13,Pennsylvania,"$35,000 to $39,999",62,Female,Employed - at work,Full time,0,568,0,568
2.01401E+13,Nebraska,"$30,000 to $34,999",71,Male,Employed - at work,Part time,195,208,0,208
2.01401E+13,Missouri,"$100,000 to $149,999",57,Female,Employed - at work,Full time,510,45,0,45
2.01401E+13,Colorado,"$40,000 to $49,999",60,Female,Employed - at work,Full time,0,30,320,350
2.01401E+13,Ohio,"$35,000 to $39,999",58,Male,Employed - at work,Part time,0,840,0,840
2.01401E+13,Ohio,"$75,000 to $99,999",53,Male,Employed - at work,Full time,0,598,0,598
2.01401E+13,Texas,"$20,000 to $24,999",61,Female,Employed - at work,Full time,0,480,0,480
2.01401E+13,Wisconsin,"$30,000 to $34,999",56,Male,Employed - at work,Part time,0,115,20,135
2.01401E+13,Iowa,"$75,000 to $99,999",55,Male,Employed - at work,Full time,2,478,0,478
2.01401E+13,South Carolina,"$100,000 to $149,999",63,Female,Employed - at work,Full time,585,90,0,90
2.01401E+13,New York,"$50,000 to $59,999",65,Male,Employed - at work,Part time,0,135,0,135
2.01401E+13,Washington,"$12,500 to $14,999",65,Female,Employed - at work,Part time,0,944,0,944
2.01401E+13,California,"$75,000 to $99,999",53,Male,Employed - at work,Full time,580,130,0,130
2.01401E+13,Alabama,"$150,000 and over",43,Female,Employed - at work,Full time,605,60,90,150
2.01401E+13,California,"$75,000 to $99,999",25,Female,Employed - at work,Part time,0,379,0,379
2.01401E+13,Arkansas,"$100,000 to $149,999",53,Male,Employed - at work,Full time,0,390,0,390
2.01401E+13,Wisconsin,"$60,000 to $74,999",64,Male,Employed - at work,Full time,575,203,0,203
2.01401E+13,Minnesota,"$100,000 to $149,999",53,Male,Employed - at work,Full time,0,280,0,280
2.01401E+13,North Carolina,"$40,000 to $49,999",56,Female,Employed - at work,Full time,488,258,0,258
2.01401E+13,Virginia,"$150,000 and over",67,Female,Employed - at work,Full time,0,500,0,500
2.01401E+13,Louisiana,"$20,000 to $24,999",58,Female,Employed - at work,Part time,0,390,0,390
2.01401E+13,Massachusetts,"$50,000 to $59,999",54,Male,Employed - at work,Full time,485,120,125,245
2.01401E+13,California,"$5,000 to $7,499",20,Female,Employed - at work,Part time,490,130,30,160
2.01401E+13,Colorado,"$100,000 to $149,999",56,Female,Employed - at work,Full time,560,150,0,150
2.01401E+13,Texas,"$25,000 to $29,999",55,Male,Employed - at work,Full time,650,205,0,205
2.01401E+13,Indiana,"$20,000 to $24,999",71,Male,Employed - at work,Full time,550,60,0,60
2.01401E+13,Texas,"$25,000 to $29,999",74,Male,Employed - at work,Full time,550,275,0,275
2.01401E+13,North Carolina,"$20,000 to $24,999",64,Female,Employed - at work,Full time,685,80,0,80
2.01401E+13,Michigan,"$50,000 to $59,999",57,Female,Employed - at work,Full time,60,212,0,212
2.01401E+13,Georgia,"$20,000 to $24,999",31,Male,Employed - at work,Full time,0,340,60,400
2.01401E+13,Louisiana,"$50,000 to $59,999",56,Female,Employed - at work,Full time,0,644,0,644
2.01401E+13,Florida,"$40,000 to $49,999",54,Female,Employed - absent,Full time,0,162,0,162
2.01401E+13,California,"$60,000 to $74,999",55,Male,Employed - at work,Full time,524,190,0,190
2.01401E+13,Rhode Island,"$40,000 to $49,999",56,Male,Employed - at work,Full time,0,585,0,585
2.01401E+13,Arkansas,"$50,000 to $59,999",66,Male,Employed - at work,Full time,545,165,0,165
2.01401E+13,New York,"$150,000 and over",62,Female,Employed - at work,Full time,0,330,0,330
2.01401E+13,New York,"$30,000 to $34,999",70,Male,Employed - at work,Part time,0,455,60,515
2.01401E+13,Mississippi,"$60,000 to $74,999",52,Female,Employed - at work,Full time,540,205,0,205
2.01401E+13,Louisiana,"Less than $5,000",57,Female,Employed - at work,Full time,570,120,0,120
2.01401E+13,Ohio,"$50,000 to $59,999",52,Female,Employed - at work,Part time,0,288,0,288
2.01401E+13,California,"$25,000 to $29,999",52,Male,Employed - at work,Full time,448,255,0,255
2.01402E+13,Florida,"$20,000 to $24,999",75,Female,Employed - at work,Part time,620,96,0,96
2.01402E+13,New York,"$10,000 to $12,499",59,Female,Employed - at work,Part time,0,480,0,480
2.01402E+13,Florida,"$35,000 to $39,999",52,Female,Employed - at work,Part time,305,450,0,450
2.01402E+13,Ohio,"$60,000 to $74,999",53,Female,Employed - at work,Full time,470,0,30,30
2.01402E+13,New York,"Less than $5,000",64,Female,Employed - at work,Part time,0,678,0,678
2.01402E+13,Michigan,"$35,000 to $39,999",57,Male,Employed - at work,Full time,300,282,0,282
2.01402E+13,Michigan,"$75,000 to $99,999",55,Female,Employed - at work,Full time,450,55,75,130
2.01402E+13,Texas,"$60,000 to $74,999",62,Male,Employed - at work,Part time,60,690,0,690
2.01402E+13,Kentucky,"$50,000 to $59,999",56,Female,Employed - at work,Full time,555,85,0,85
2.01402E+13,Mississippi,"$30,000 to $34,999",68,Male,Employed - at work,Part time,120,210,0,210
2.01402E+13,Virginia,"$60,000 to $74,999",60,Female,Employed - at work,Full time,545,250,0,250
2.01402E+13,New York,"$40,000 to $49,999",67,Male,Employed - at work,Part time,0,495,90,585
2.01402E+13,Colorado,"$75,000 to $99,999",63,Female,Employed - at work,Part time,0,385,0,385
2.01402E+13,Michigan,"$40,000 to $49,999",61,Male,Employed - at work,Part time,315,360,0,360
2.01402E+13,Washington,"$75,000 to $99,999",60,Male,Employed - at work,Full time,612,243,0,243
2.01402E+13,New Jersey,"$75,000 to $99,999",52,Male,Employed - at work,Full time,0,600,60,660
2.01402E+13,Pennsylvania,"$75,000 to $99,999",68,Male,Employed - at work,Part time,150,475,0,475
2.01402E+13,Michigan,"$40,000 to $49,999",33,Male,Employed - at work,Full time,0,445,0,445
2.01402E+13,Texas,"$60,000 to $74,999",54,Female,Employed - at work,Full time,485,25,70,95
2.01402E+13,Florida,"$100,000 to $149,999",67,Male,Employed - at work,Part time,0,170,180,350
2.01402E+13,Virginia,"$75,000 to $99,999",63,Male,Employed - at work,Full time,395,135,0,135
2.01402E+13,Wisconsin,"$35,000 to $39,999",65,Female,Employed - at work,Part time,425,220,0,220
2.01402E+13,New Jersey,"$100,000 to $149,999",58,Female,Employed - at work,Full time,0,135,0,135
2.01402E+13,New York,"$60,000 to $74,999",65,Male,Employed - absent,Full time,0,807,0,807
2.01402E+13,Oklahoma,"$20,000 to $24,999",61,Male,Employed - at work,Full time,0,635,0,635
2.01402E+13,Arkansas,"$30,000 to $34,999",37,Female,Employed - at work,Full time,445,185,0,185
2.01402E+13,Nebraska,"$60,000 to $74,999",59,Female,Employed - absent,Full time,180,265,0,265
2.01402E+13,Colorado,"$150,000 and over",64,Female,Employed - at work,Full time,30,215,0,215
2.01402E+13,Virginia,"$100,000 to $149,999",63,Female,Employed - at work,Full time,450,210,0,210
2.01402E+13,Indiana,"$100,000 to $149,999",57,Male,Employed - at work,Full time,615,125,0,125
2.01402E+13,New York,"$150,000 and over",60,Female,Employed - at work,Part time,452,60,0,60
2.01402E+13,Florida,"$25,000 to $29,999",56,Male,Employed - at work,Full time,0,210,0,210
2.01402E+13,Minnesota,"$50,000 to $59,999",74,Male,Employed - absent,Part time,0,755,0,755
2.01402E+13,South Carolina,"$40,000 to $49,999",51,Male,Employed - at work,Full time,0,135,0,135
2.01402E+13,West Virginia,"$75,000 to $99,999",58,Male,Employed - at work,Full time,750,195,0,195
2.01402E+13,Pennsylvania,"$25,000 to $29,999",85,Female,Employed - at work,Part time,280,425,60,485
2.01402E+13,New Jersey,"$75,000 to $99,999",52,Female,Employed - at work,Full time,0,250,0,250
2.01402E+13,Illinois,"$75,000 to $99,999",60,Female,Employed - at work,Full time,810,90,0,90
2.01402E+13,Pennsylvania,"$12,500 to $14,999",71,Female,Employed - at work,Part time,10,587,0,587
2.01402E+13,Virginia,"$20,000 to $24,999",71,Female,Employed - at work,Part time,0,450,0,450
2.01402E+13,Minnesota,"$25,000 to $29,999",72,Female,Employed - at work,Full time,35,455,20,475
2.01402E+13,Alabama,"$150,000 and over",55,Female,Employed - at work,Full time,300,195,0,195
2.01402E+13,Pennsylvania,"$40,000 to $49,999",77,Female,Employed - at work,Part time,300,120,0,120
2.01402E+13,Indiana,"$25,000 to $29,999",54,Male,Employed - at work,Full time,360,360,30,390
2.01402E+13,Colorado,"$150,000 and over",50,Male,Employed - at work,Full time,554,30,75,105
2.01402E+13,Illinois,"$40,000 to $49,999",26,Female,Employed - at work,Part time,300,245,0,245
2.01402E+13,Maryland,"$75,000 to $99,999",65,Male,Employed - at work,Full time,495,145,0,145
2.01402E+13,Oklahoma,"$7,500 to $9,999",54,Male,Employed - at work,Full time,590,240,0,240
2.01402E+13,Louisiana,"$60,000 to $74,999",55,Female,Employed - at work,Full time,0,400,0,400
2.01402E+13,Illinois,"$15,000 to $19,999",55,Female,Employed - at work,Full time,270,430,0,430
2.01402E+13,Georgia,"$10,000 to $12,499",29,Female,Employed - at work,Part time,30,217,120,337
2.01402E+13,Tennessee,"$40,000 to $49,999",68,Female,Employed - at work,Full time,430,150,0,150
2.01402E+13,Texas,"$75,000 to $99,999",57,Male,Employed - at work,Full time,0,342,0,342
2.01402E+13,California,"$35,000 to $39,999",56,Male,Employed - at work,Full time,300,60,0,60
2.01402E+13,Nevada,"$150,000 and over",63,Female,Employed - at work,Full time,180,210,0,210
2.01402E+13,Colorado,"$100,000 to $149,999",61,Female,Employed - at work,Full time,0,640,0,640
2.01402E+13,Ohio,"$60,000 to $74,999",61,Female,Employed - at work,Full time,515,157,0,157
2.01402E+13,California,"$10,000 to $12,499",55,Female,Employed - at work,Full time,0,190,100,290
2.01402E+13,Texas,"$75,000 to $99,999",62,Male,Employed - at work,Full time,615,120,0,120
2.01402E+13,Kentucky,"$40,000 to $49,999",55,Female,Employed - at work,Part time,0,574,0,574
2.01402E+13,Louisiana,"$20,000 to $24,999",51,Female,Employed - at work,Full time,878,15,0,15
2.01402E+13,Wisconsin,"$40,000 to $49,999",53,Male,Employed - at work,Full time,525,240,0,240
2.01402E+13,New York,"$100,000 to $149,999",67,Female,Employed - at work,Full time,230,295,0,295
2.01402E+13,California,"$50,000 to $59,999",60,Female,Employed - at work,Full time,475,525,0,525
2.01402E+13,New York,"$15,000 to $19,999",53,Female,Employed - at work,Part time,420,430,0,430
2.01402E+13,Minnesota,"$60,000 to $74,999",62,Male,Employed - at work,Part time,285,165,0,165
2.01402E+13,Illinois,"$75,000 to $99,999",53,Male,Employed - at work,Full time,0,0,0,0
2.01402E+13,California,"$75,000 to $99,999",59,Female,Employed - at work,Full time,0,275,0,275
2.01402E+13,Texas,"$20,000 to $24,999",30,Female,Employed - at work,Part time,0,435,0,435
2.01402E+13,Georgia,"Less than $5,000",53,Female,Employed - at work,Part time,0,450,0,450
2.01402E+13,California,"$50,000 to $59,999",65,Female,Employed - absent,Full time,0,150,0,150
2.01402E+13,Texas,"$40,000 to $49,999",62,Female,Employed - at work,Full time,0,345,0,345
2.01402E+13,Maryland,"$40,000 to $49,999",55,Female,Employed - at work,Full time,720,90,0,90
2.01402E+13,North Carolina,"$12,500 to $14,999",62,Male,Employed - at work,Full time,0,480,0,480
2.01402E+13,New York,"$150,000 and over",53,Male,Employed - at work,Full time,300,330,55,385
2.01402E+13,New York,"$30,000 to $34,999",21,Female,Employed - at work,Part time,180,400,0,400
2.01402E+13,Texas,"$30,000 to $34,999",63,Female,Employed - at work,Part time,320,245,0,245
2.01402E+13,New York,"$150,000 and over",61,Male,Employed - at work,Full time,500,80,75,155
2.01402E+13,Connecticut,"$100,000 to $149,999",58,Male,Employed - at work,Full time,565,28,0,28
2.01402E+13,Illinois,"$35,000 to $39,999",63,Male,Employed - at work,Part time,430,185,60,245
2.01402E+13,Florida,"$12,500 to $14,999",52,Female,Employed - at work,Full time,645,0,0,0
2.01402E+13,Oregon,"$25,000 to $29,999",53,Male,Employed - at work,Full time,480,115,0,115
2.01402E+13,New Jersey,"$40,000 to $49,999",59,Male,Employed - at work,Full time,450,363,0,363
2.01402E+13,Colorado,"$75,000 to $99,999",55,Female,Employed - at work,Full time,555,225,0,225
2.01402E+13,Montana,"$100,000 to $149,999",50,Male,Employed - at work,Full time,397,64,0,64
2.01402E+13,California,"$60,000 to $74,999",56,Female,Employed - at work,Part time,450,237,0,237
2.01402E+13,New Jersey,"$150,000 and over",60,Female,Employed - at work,Full time,0,390,0,390
2.01402E+13,Minnesota,"$50,000 to $59,999",58,Male,Employed - at work,Full time,0,350,0,350
2.01402E+13,Arizona,"$50,000 to $59,999",53,Female,Employed - at work,Full time,500,295,0,295
2.01402E+13,Florida,"$10,000 to $12,499",69,Female,Employed - at work,Part time,0,746,0,746
2.01402E+13,New York,"$25,000 to $29,999",58,Male,Employed - at work,Full time,0,195,0,195
2.01402E+13,Ohio,"$40,000 to $49,999",51,Male,Employed - at work,Full time,0,525,0,525
2.01402E+13,New Jersey,"$60,000 to $74,999",65,Male,Employed - at work,Full time,401,360,45,405
2.01402E+13,Massachusetts,"$25,000 to $29,999",58,Male,Employed - absent,Part time,0,325,160,485
2.01402E+13,Arkansas,"$150,000 and over",54,Female,Employed - at work,Full time,295,395,0,395
2.01402E+13,Washington,"$50,000 to $59,999",52,Female,Employed - at work,Full time,0,675,0,675
2.01402E+13,California,"$75,000 to $99,999",60,Female,Employed - at work,Full time,790,45,20,65
2.01402E+13,Virginia,"$25,000 to $29,999",62,Female,Employed - at work,Full time,480,15,0,15
2.01402E+13,Louisiana,"$50,000 to $59,999",73,Female,Employed - at work,Full time,0,240,0,240
2.01402E+13,Washington,"$35,000 to $39,999",59,Female,Employed - at work,Part time,0,150,60,210
2.01402E+13,California,"$75,000 to $99,999",52,Male,Employed - at work,Full time,0,150,0,150
2.01402E+13,Colorado,"$100,000 to $149,999",51,Male,Employed - at work,Full time,810,25,0,25
2.01402E+13,Connecticut,"$100,000 to $149,999",61,Female,Employed - at work,Full time,480,60,0,60
2.01402E+13,California,"$100,000 to $149,999",58,Female,Employed - at work,Full time,0,240,90,330
2.01402E+13,Texas,"$100,000 to $149,999",57,Female,Employed - at work,Full time,0,355,0,355
2.01402E+13,California,"$150,000 and over",67,Male,Employed - at work,Full time,760,135,0,135
2.01402E+13,Massachusetts,"$75,000 to $99,999",61,Female,Employed - at work,Part time,420,255,0,255
2.01402E+13,Alabama,"$35,000 to $39,999",59,Male,Employed - at work,Full time,0,370,0,370
2.01402E+13,Alabama,"$100,000 to $149,999",53,Male,Employed - at work,Full time,584,250,0,250
2.01402E+13,Texas,"$25,000 to $29,999",53,Male,Employed - at work,Full time,0,300,0,300
2.01402E+13,Ohio,"$75,000 to $99,999",57,Female,Employed - at work,Full time,210,195,60,255
2.01402E+13,District of Columbia,"$35,000 to $39,999",29,Female,Employed - at work,Part time,0,135,45,180
2.01402E+13,Florida,"$60,000 to $74,999",36,Male,Employed - at work,Full time,454,240,0,240
2.01402E+13,North Carolina,"$20,000 to $24,999",69,Male,Employed - at work,Part time,0,520,0,520
2.01402E+13,Oklahoma,"$35,000 to $39,999",58,Male,Employed - absent,Full time,0,240,0,240
