caseid,year,statefip,famincome,hh_child,age,sex,race,schlcoll,empstat,fullpart,act_carehh,act_carenhh,act_educ,act_food,act_govserv,act_hhact,act_hhserv,act_pcare,act_phone,act_profserv,act_purch,act_relig,act_social,act_sports,act_travel,act_vol,act_work
20140101140759,2014,"Texas","$40,000 to $49,999","No",80,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,150,0,0,0,530,0,30,0,0,710,0,20,0,0
20140101140792,2014,"Minnesota","$30,000 to $34,999","No",37,"Male","White-Asian","Not enrolled","Unemployed - on layoff","NIU (Not in universe)",0,0,0,0,0,50,0,386,330,0,25,0,540,0,54,0,10
20140101140804,2014,"Michigan","$75,000 to $99,999","Yes",41,"Female","White only","Not enrolled","Employed - at work","Full time",125,0,0,80,0,0,0,519,0,0,15,0,120,0,102,0,479
20140101140836,2014,"Wisconsin","$20,000 to $24,999","No",85,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,105,0,380,0,640,60,0,0,0,255,0,0,0,0
20140101140852,2014,"New Jersey","$30,000 to $34,999","No",67,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,60,0,100,0,495,75,0,30,0,510,60,110,0,0
20140101140854,2014,"California","$15,000 to $19,999","No",21,"Female","White only","College/university full time","Not in labor force","NIU (Not in universe)",0,0,0,30,0,2,0,720,0,0,0,0,688,0,0,0,0
20140101140872,2014,"Louisiana","$75,000 to $99,999","Yes",45,"Female","White only","Not enrolled","Employed - at work","Full time",180,0,0,0,0,122,0,478,0,0,10,0,0,0,4,0,646
20140101140875,2014,"Pennsylvania","$60,000 to $74,999","No",62,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,47,0,35,0,425,0,0,20,0,395,0,81,0,437
20140101140876,2014,"Illinois","$50,000 to $59,999","No",67,"Female","White only","NIU (Not in universe)","Employed - at work","Part time",0,0,0,90,0,45,0,695,60,0,90,130,265,0,65,0,0
20140101140885,2014,"Maryland","Less than $5,000","No",80,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,40,0,45,0,300,0,510,0,0,214,0,280,0,51,0,0
20140101140911,2014,"Georgia","$150,000 and over","No",61,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,180,0,5,0,780,0,120,0,0,315,0,40,0,0
20140101140940,2014,"South Carolina","$75,000 to $99,999","Yes",49,"Male","White only","Not enrolled","Not in labor force","NIU (Not in universe)",0,0,0,30,0,10,0,630,0,0,60,0,665,0,45,0,0
20140101140958,2014,"Georgia","$75,000 to $99,999","Yes",26,"Female","White only","Not enrolled","Employed - at work","Full time",270,0,0,90,0,85,0,475,0,0,0,0,10,0,66,0,444
20140101140967,2014,"North Carolina","$25,000 to $29,999","No",66,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,65,0,475,0,555,30,0,0,0,315,0,0,0,0
20140101140973,2014,"Georgia","Less than $5,000","No",62,"Male","Hawaiian Pacific Islander only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,90,0,120,0,558,0,0,12,120,345,120,75,0,0
20140101140990,2014,"Mississippi","$40,000 to $49,999","No",61,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,10,0,200,0,640,0,0,0,0,587,0,3,0,0
20140101140995,2014,"Maine","$100,000 to $149,999","No",47,"Male","Asian only","Not enrolled","Employed - at work","Full time",0,9,0,95,0,135,0,521,0,0,5,0,495,0,170,0,0
20140101141014,2014,"South Carolina","$100,000 to $149,999","Yes",16,"Female","White only","High school full time","Not in labor force","NIU (Not in universe)",0,1,0,130,0,5,0,675,0,0,0,0,372,210,37,0,0
20140101141056,2014,"Alabama","$10,000 to $12,499","No",74,"Female","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,20,0,0,0,690,0,0,0,0,730,0,0,0,0
20140101141081,2014,"Florida","$10,000 to $12,499","No",70,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,130,0,40,0,900,0,0,30,0,320,0,20,0,0
20140101141134,2014,"Michigan","$150,000 and over","No",64,"Male","Asian only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,540,0,105,0,0,0,695,0,0,0,0,100,0,0,0,0
20140101141177,2014,"Texas","$75,000 to $99,999","No",69,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,85,0,25,0,540,0,0,10,0,248,0,72,0,460
20140101141179,2014,"North Carolina","$10,000 to $12,499","No",56,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",30,0,0,30,0,60,0,460,0,0,0,0,660,150,0,0,0
20140101141180,2014,"Connecticut","$40,000 to $49,999","No",28,"Female","White-Asian","Not enrolled","Employed - at work","Full time",0,0,0,145,0,82,0,530,45,0,0,0,120,0,68,0,450
20140101141214,2014,"Washington","Less than $5,000","No",55,"Female","White only","NIU (Not in universe)","Employed - at work","Part time",0,0,0,60,0,15,0,570,120,30,0,0,235,0,110,60,240
20140101141232,2014,"Maine","$25,000 to $29,999","No",66,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,15,0,114,0,480,90,0,0,0,741,0,0,0,0
20140101141282,2014,"Kentucky","$10,000 to $12,499","No",72,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,30,0,210,0,360,0,0,0,0,840,0,0,0,0
20140101141288,2014,"Texas","$50,000 to $59,999","No",54,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,45,0,45,0,0,0,450,0,0,0,0,30,150,120,0,600
20140101141321,2014,"North Carolina","$50,000 to $59,999","No",66,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,270,0,5,0,30,0,545,0,0,55,195,210,0,130,0,0
20140101141331,2014,"Connecticut","$60,000 to $74,999","No",80,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,150,0,290,0,575,15,0,0,0,350,0,0,0,0
20140101141365,2014,"Georgia","$50,000 to $59,999","No",66,"Male","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,170,0,90,0,550,0,0,0,0,630,0,0,0,0
20140101141379,2014,"Idaho","$40,000 to $49,999","Yes",36,"Male","White only","College/university part time","Employed - at work","Full time",45,0,0,45,0,155,0,540,0,0,0,135,435,30,55,0,0
20140101141381,2014,"Louisiana","$150,000 and over","Yes",47,"Female","White only","Not enrolled","Employed - at work","Full time",0,0,0,120,0,155,0,600,45,0,0,0,520,0,0,0,0
20140101141386,2014,"Indiana","$50,000 to $59,999","No",63,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,120,0,0,0,360,0,0,0,0,140,0,0,0,820
20140101141409,2014,"New Jersey","$60,000 to $74,999","Yes",18,"Female","White-Black","High school full time","Employed - at work","Part time",0,0,0,45,0,0,0,570,90,0,0,0,369,0,21,0,345
20140101141418,2014,"Missouri","$150,000 and over","No",61,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,100,134,0,61,0,570,0,0,40,0,365,75,95,0,0
20140101141430,2014,"Nevada","$25,000 to $29,999","No",79,"Male","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",60,0,0,60,0,0,0,870,0,0,0,0,60,0,30,360,0
20140101141449,2014,"Florida","$150,000 and over","No",19,"Female","White only","College/university full time","Employed - at work","Part time",0,0,90,45,0,0,0,665,0,0,0,0,130,0,30,0,480
20140101141488,2014,"California","$150,000 and over","No",38,"Female","White only","Not enrolled","Employed - at work","Full time",0,0,0,40,0,20,0,570,60,0,0,0,0,0,0,0,750
20140101141502,2014,"West Virginia","$30,000 to $34,999","No",75,"Male","White only","NIU (Not in universe)","Employed - at work","Part time",0,0,0,85,0,125,0,440,0,0,0,0,470,0,60,0,260
20140101141515,2014,"Missouri","$50,000 to $59,999","No",54,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,125,0,90,0,700,0,0,0,0,120,0,90,0,240
20140101141556,2014,"Virginia","$50,000 to $59,999","No",49,"Male","Black only","Not enrolled","Employed - absent","Full time",0,0,0,75,0,180,0,510,0,0,15,0,575,0,85,0,0
20140101141584,2014,"Texas","$150,000 and over","Yes",51,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",36,0,0,42,0,145,0,450,45,0,25,0,240,0,137,100,0
20140101141589,2014,"California","$50,000 to $59,999","No",80,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,53,0,200,0,630,0,90,10,0,393,0,64,0,0
20140101141629,2014,"Ohio","$30,000 to $34,999","No",52,"Female","White only","NIU (Not in universe)","Unemployed - looking","NIU (Not in universe)",0,0,0,0,0,0,0,510,0,0,0,0,705,0,75,0,150
20140101141646,2014,"New York","$75,000 to $99,999","Yes",33,"Female","White only","Not enrolled","Employed - at work","Part time",230,0,0,45,0,70,0,510,0,0,10,0,225,0,125,0,220
20140101141661,2014,"Oregon","$35,000 to $39,999","No",33,"Male","White only","Not enrolled","Employed - at work","Full time",0,0,0,120,0,120,0,540,0,0,0,0,135,0,30,0,495
20140101141672,2014,"Minnesota","$15,000 to $19,999","No",24,"Female","White only","Not enrolled","Employed - absent","Part time",0,0,0,25,0,1,0,600,0,0,0,0,814,0,0,0,0
20140101141687,2014,"Oregon","$100,000 to $149,999","No",48,"Male","White only","Not enrolled","Employed - at work","Full time",0,0,0,40,0,0,0,480,0,0,0,0,223,0,14,0,683
20140101141690,2014,"Florida","$50,000 to $59,999","Yes",16,"Male","Asian only","High school full time","Not in labor force","NIU (Not in universe)",0,0,0,0,0,0,0,660,0,0,0,0,750,0,30,0,0
20140101141724,2014,"Tennessee","$15,000 to $19,999","No",60,"Female","White only","NIU (Not in universe)","Employed - absent","Full time",0,0,0,65,0,35,0,760,0,0,0,0,580,0,0,0,0
20140101141777,2014,"North Carolina","$75,000 to $99,999","No",72,"Female","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,110,0,70,0,180,0,630,20,0,0,0,430,0,0,0,0
20140101141795,2014,"Indiana","$75,000 to $99,999","Yes",49,"Female","White only","Not enrolled","Employed - at work","Full time",0,0,0,60,0,55,0,556,0,0,0,0,65,0,135,0,569
20140101141796,2014,"Minnesota","$100,000 to $149,999","Yes",38,"Male","White only","Not enrolled","Employed - at work","Full time",155,0,0,75,0,280,0,645,0,0,20,0,170,60,35,0,0
20140101141817,2014,"Michigan","$35,000 to $39,999","No",69,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,25,0,90,0,525,0,0,0,0,800,0,0,0,0
20140101141837,2014,"California","$7,500 to $9,999","No",26,"Male","Asian only","College/university full time","Unemployed - looking","NIU (Not in universe)",0,0,270,150,0,0,0,600,0,0,0,145,120,0,155,0,0
20140101141841,2014,"North Carolina","$100,000 to $149,999","No",70,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,140,0,104,0,611,1,0,40,65,429,0,38,0,0
20140101141860,2014,"Wisconsin","$40,000 to $49,999","Yes",41,"Male","White only","Not enrolled","Employed - at work","Full time",10,110,0,17,0,50,0,415,0,0,10,0,90,0,138,0,600
20140101141863,2014,"Virginia","Less than $5,000","Yes",44,"Female","Black only","Not enrolled","Employed - at work","Part time",90,0,0,40,0,155,0,765,90,0,0,0,0,0,0,0,300
20140101141897,2014,"Michigan","$60,000 to $74,999","No",63,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,150,0,20,0,155,0,745,0,0,0,0,330,0,40,0,0
20140101141928,2014,"Arizona","$40,000 to $49,999","Yes",47,"Male","White only","Not enrolled","Employed - at work","Full time",0,0,0,120,0,135,0,540,0,10,30,0,425,0,180,0,0
20140101142008,2014,"Florida","$25,000 to $29,999","No",71,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,65,0,425,0,480,30,0,0,0,440,0,0,0,0
20140101142020,2014,"Texas","$75,000 to $99,999","Yes",32,"Female","White only","Not enrolled","Employed - at work","Full time",79,0,0,35,0,35,0,574,20,0,50,0,145,0,74,33,360
20140101142022,2014,"Florida","$60,000 to $74,999","Yes",51,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",40,0,0,20,0,375,0,240,0,0,0,0,565,0,50,0,60
20140101142036,2014,"California","$100,000 to $149,999","Yes",18,"Female","White only","College/university full time","Not in labor force","NIU (Not in universe)",0,0,766,80,0,0,0,370,0,0,15,0,105,20,84,0,0
20140101142043,2014,"Missouri","$30,000 to $34,999","No",41,"Female","White only","Not enrolled","Employed - at work","Part time",0,0,0,40,0,65,0,735,0,0,5,0,70,0,100,0,410
20140101142048,2014,"Wisconsin","$75,000 to $99,999","Yes",40,"Female","White only","Not enrolled","Employed - at work","Part time",94,0,0,50,5,107,0,450,0,0,30,0,100,35,167,0,392
20140101142071,2014,"Texas","$40,000 to $49,999","No",20,"Female","Black only","Not enrolled","Not in labor force","NIU (Not in universe)",1,0,0,0,0,90,0,720,0,0,21,0,315,0,293,0,0
20140101142108,2014,"Massachusetts","$20,000 to $24,999","No",78,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,27,0,105,0,20,0,460,0,0,0,0,590,0,80,0,0
20140101142132,2014,"Indiana","$60,000 to $74,999","Yes",40,"Female","White only","Not enrolled","Employed - at work","Full time",170,0,0,120,0,60,0,505,0,0,0,0,0,0,90,0,495
20140101142146,2014,"Missouri","$60,000 to $74,999","No",46,"Female","White only","Not enrolled","Not in labor force","NIU (Not in universe)",0,0,0,120,0,480,0,575,0,0,120,0,30,30,85,0,0
20140101142155,2014,"New Mexico","$12,500 to $14,999","No",62,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,20,0,393,0,655,0,0,60,0,240,0,72,0,0
20140101142168,2014,"Michigan","$60,000 to $74,999","No",53,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,30,0,35,0,620,0,0,35,0,150,0,95,0,475
20140101142188,2014,"Florida","$50,000 to $59,999","No",79,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,70,0,245,0,610,60,0,0,0,445,0,10,0,0
20140101142193,2014,"Arizona","$100,000 to $149,999","No",67,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",10,0,0,45,0,30,0,894,2,0,0,0,455,0,0,0,4
20140101142205,2014,"Michigan","$30,000 to $34,999","No",62,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",390,0,0,30,0,500,0,210,0,0,0,0,310,0,0,0,0
20140101142228,2014,"Georgia","$75,000 to $99,999","Yes",50,"Female","White only","NIU (Not in universe)","Unemployed - looking","NIU (Not in universe)",0,0,0,0,0,95,0,630,55,0,0,165,60,0,40,115,265
20140101142230,2014,"Illinois","$25,000 to $29,999","Yes",47,"Female","White only","Not enrolled","Unemployed - looking","NIU (Not in universe)",0,5,0,45,0,162,0,470,0,0,0,0,733,0,25,0,0
20140101142236,2014,"Iowa","$30,000 to $34,999","Yes",18,"Female","White only","College/university full time","Unemployed - looking","NIU (Not in universe)",0,0,246,106,0,15,0,565,0,0,0,0,400,0,48,0,60
20140101142253,2014,"California","$150,000 and over","No",48,"Female","White only","Not enrolled","Employed - at work","Part time",0,0,0,75,0,41,0,675,0,0,35,0,220,69,60,0,265
20140101142257,2014,"Texas","$12,500 to $14,999","No",85,"Female","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,60,0,0,0,750,0,0,0,275,145,0,90,0,0
20140101142265,2014,"Pennsylvania","$35,000 to $39,999","Yes",36,"Female","White only","Not enrolled","Not in labor force","NIU (Not in universe)",90,0,0,90,0,105,0,675,0,0,0,0,480,0,0,0,0
20140101142278,2014,"Pennsylvania","$10,000 to $12,499","No",64,"Male","Black only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",10,0,0,60,0,30,0,580,0,0,0,0,700,0,60,0,0
20140101142301,2014,"Arkansas","$50,000 to $59,999","No",42,"Male","Black only","Not enrolled","Employed - at work","Full time",0,0,0,29,0,21,0,470,0,0,20,0,374,0,71,0,455
20140101142319,2014,"Illinois","$35,000 to $39,999","No",65,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,45,0,75,0,630,0,0,0,45,225,0,0,420,0
20140101142325,2014,"Pennsylvania","$35,000 to $39,999","No",80,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,90,0,105,0,705,240,0,0,0,300,0,0,0,0
20140101142328,2014,"Florida","$75,000 to $99,999","No",56,"Female","Black only","NIU (Not in universe)","Employed - at work","Full time",45,0,0,0,0,30,0,420,0,0,0,0,105,0,98,0,742
20140101142357,2014,"Washington","$50,000 to $59,999","Yes",34,"Male","White only","College/university part time","Employed - at work","Part time",280,0,610,25,0,15,0,245,0,0,0,0,182,0,53,0,30
20140101142363,2014,"West Virginia","$100,000 to $149,999","No",57,"Female","Asian only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,75,0,60,0,655,0,0,60,0,0,0,40,0,550
20140101142378,2014,"Virginia","$50,000 to $59,999","Yes",34,"Male","White only","Not enrolled","Employed - at work","Full time",22,0,0,15,0,130,0,813,0,0,60,0,206,0,104,0,90
20140101142406,2014,"Maryland","$100,000 to $149,999","Yes",35,"Female","Black only","Not enrolled","Employed - at work","Full time",10,0,0,0,0,0,0,570,0,0,0,0,120,0,165,0,575
20140101142416,2014,"New Jersey","$75,000 to $99,999","No",59,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,40,0,40,0,500,0,0,35,0,255,0,65,0,505
20140101142417,2014,"Pennsylvania","$100,000 to $149,999","Yes",31,"Female","White only","Not enrolled","Not in labor force","NIU (Not in universe)",360,0,0,90,0,231,0,480,40,0,94,0,15,0,35,0,0
20140101142433,2014,"Maryland","$60,000 to $74,999","No",52,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,120,60,0,200,0,560,0,0,0,70,350,60,20,0,0
20140101142452,2014,"California","$50,000 to $59,999","No",52,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,60,0,15,0,59,0,605,27,0,45,0,570,0,40,0,0
20140110130935,2014,"Florida","$7,500 to $9,999","No",80,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,180,0,240,0,330,0,0,0,0,690,0,0,0,0
20140110131118,2014,"New Mexico","$75,000 to $99,999","Yes",44,"Female","White only","Not enrolled","Employed - at work","Full time",0,0,0,60,0,235,0,750,0,0,60,0,305,0,30,0,0
20140110131176,2014,"Arkansas","$15,000 to $19,999","Yes",51,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,0,0,65,0,412,0,0,0,0,310,0,128,0,525
20140110131331,2014,"Massachusetts","$100,000 to $149,999","Yes",39,"Female","White only","Not enrolled","Not in labor force","NIU (Not in universe)",210,0,0,80,0,315,0,645,0,0,0,0,190,0,0,0,0
20140110131395,2014,"Florida","$12,500 to $14,999","Yes",61,"Male","Black only","NIU (Not in universe)","Employed - at work","Part time",0,0,0,105,0,150,0,300,0,0,45,0,770,0,70,0,0
20140110131421,2014,"Indiana","$30,000 to $34,999","No",60,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,5,0,42,0,125,0,310,328,0,15,0,486,0,31,0,0
20140110131656,2014,"New Jersey","$40,000 to $49,999","No",71,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,70,0,0,0,325,0,0,0,0,0,0,15,0,1030
20140110131797,2014,"Virginia","$30,000 to $34,999","Yes",16,"Female","White only","High school full time","Not in labor force","NIU (Not in universe)",0,0,195,60,0,185,0,590,60,0,0,0,10,0,100,240,0
20140110131853,2014,"California","$30,000 to $34,999","Yes",45,"Male","White only","Not enrolled","Employed - at work","Part time",0,0,0,75,0,30,0,765,0,0,60,0,480,0,30,0,0
20140110131940,2014,"Oregon","$60,000 to $74,999","Yes",36,"Male","White only","Not enrolled","Employed - at work","Full time",60,0,0,30,0,35,0,410,0,0,0,20,273,25,54,60,473
20140110131947,2014,"Nevada","$15,000 to $19,999","Yes",37,"Female","White only","Not enrolled","Unemployed - looking","NIU (Not in universe)",60,0,0,60,0,450,0,600,0,0,90,0,135,0,45,0,0
20140110131979,2014,"Hawaii","$100,000 to $149,999","No",62,"Female","Hawaiian Pacific Islander only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,75,0,180,0,540,0,15,0,0,15,0,135,0,480
20140110132111,2014,"New Jersey","$150,000 and over","Yes",54,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",2,1,0,85,0,1,0,605,0,0,40,0,596,0,105,0,5
20140110132335,2014,"North Carolina","$50,000 to $59,999","No",57,"Female","Black only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,55,0,402,0,625,0,0,0,55,303,0,0,0,0
20140111130038,2014,"Michigan","$50,000 to $59,999","No",44,"Female","Black only","Not enrolled","Not in labor force","NIU (Not in universe)",0,45,0,15,0,75,0,615,0,0,0,0,355,200,135,0,0
20140111130133,2014,"New York","$30,000 to $34,999","No",62,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,30,0,180,0,540,0,0,120,0,435,0,45,0,0
20140111130136,2014,"Indiana","$30,000 to $34,999","Yes",58,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",30,0,0,120,0,0,0,605,0,0,0,0,15,0,90,90,490
20140111130147,2014,"California","$75,000 to $99,999","No",55,"Female","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,25,0,50,0,620,60,0,35,0,90,0,99,0,456
20140111130153,2014,"California","Less than $5,000","No",80,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,60,60,160,0,80,0,660,30,0,50,0,120,0,25,0,0
20140111130154,2014,"Florida","$40,000 to $49,999","No",75,"Female","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",0,0,0,45,0,186,0,532,0,0,0,0,647,0,0,0,0
20140111130176,2014,"Iowa","$60,000 to $74,999","Yes",36,"Male","White only","Not enrolled","Employed - at work","Full time",0,0,0,90,0,60,0,660,0,0,0,0,630,0,0,0,0
20140111130501,2014,"Florida","$40,000 to $49,999","No",58,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,25,0,15,0,480,0,0,120,0,296,0,74,0,430
20140111130502,2014,"Minnesota","$75,000 to $99,999","Yes",36,"Male","Asian only","Not enrolled","Employed - at work","Full time",0,0,0,135,0,90,0,480,0,0,0,0,180,30,0,0,525
20140111130503,2014,"Arkansas","$100,000 to $149,999","No",46,"Female","White only","Not enrolled","Not in labor force","NIU (Not in universe)",0,0,0,30,0,75,0,630,0,0,0,0,705,0,0,0,0
20140111130505,2014,"North Carolina","$15,000 to $19,999","Yes",35,"Male","White only","Not enrolled","Employed - at work","Full time",60,0,0,35,0,0,0,620,0,0,0,0,160,0,40,0,525
20140111130508,2014,"Kansas","$50,000 to $59,999","No",31,"Male","Black only","Not enrolled","Unemployed - looking","NIU (Not in universe)",0,0,0,50,0,0,0,480,0,0,0,0,670,0,0,0,240
20140111130521,2014,"Texas","$50,000 to $59,999","Yes",25,"Female","White only","College/university full time","Employed - absent","Full time",50,0,0,45,0,30,0,665,0,60,0,90,286,0,194,0,20
20140111130541,2014,"Texas","$10,000 to $12,499","No",50,"Male","White only","NIU (Not in universe)","Not in labor force","NIU (Not in universe)",26,0,0,46,0,350,0,868,0,0,0,0,110,0,40,0,0
20140111130560,2014,"Massachusetts","$100,000 to $149,999","No",60,"Male","White only","NIU (Not in universe)","Employed - at work","Full time",0,0,0,70,0,0,0,530,0,0,0,0,0,0,120,0,720
20140111130562,2014,"California","$75,000 to $99,999","No",62,"Female","White only","NIU (Not in universe)","Employed - absent","Part time",0,0,0,70,0,290,0,555,45,0,0,0,230,0,0,0,250
20140111130564,2014,"Minnesota","$40,000 to $49,999","No",25,"Male","Black only","Not enrolled","Employed - at work","Full time",40,0,0,60,0,0,0,570,0,0,0,0,120,0,175,0,475
20140111130568,2014,"Illinois","$40,000 to $49,999","Yes",37,"Female","White only","Not enrolled","Employed - at work","Full time",0,0,0,75,0,315,0,690,0,0,0,0,360,0,0,0,0
20140111130584,2014,"Wisconsin","$60,000 to $74,999","Yes",29,"Male","White only","Not enrolled","Unemployed - looking","NIU (Not in universe)",0,0,0,45,0,0,0,540,0,0,30,0,815,0,10,0,0
20140111130585,2014,"Virginia","$10,000 to $12,499","Yes",15,"Male","White only","High school full time","Not in labor force","NIU (Not in universe)",0,0,425,50,0,0,0,625,0,0,0,0,320,0,20,0,0
