"state","fam_income","race","age","sex","emp","fullpart","work","travel","household","pcare","leisure","race.new","income.new"
"Tennessee","$20,000 to $24,999","White only",24,"Male","Employed - at work","Full time",500,132,20,485,114,"White only","Below $25k"
"New York","$40,000 to $49,999","White only",28,"Male","Employed - at work","Full time",485,70,130,485,205,"White only","$25k-$50k"
"California","$40,000 to $49,999","White only",27,"Male","Employed - at work","Full time",475,195,30,510,185,"White only","$25k-$50k"
"Connecticut","$150,000 and over","White only",17,"Female","Employed - at work","Part time",0,128,0,956,270,"White only","$100k+"
"North Carolina","$60,000 to $74,999","White only",22,"Male","Employed - at work","Full time",0,60,0,733,80,"White only","$50k-$75k"
"California","$15,000 to $19,999","White only",26,"Male","Employed - at work","Part time",0,74,145,750,271,"White only","Below $25k"
"Missouri","$15,000 to $19,999","Black only",48,"Male","Employed - at work","Part time",0,180,203,620,195,"Black only","Below $25k"
"Texas","$10,000 to $12,499","Black only",35,"Female","Employed - at work","Full time",440,75,0,735,60,"Black only","Below $25k"
"Arizona","$60,000 to $74,999","Black only",39,"Female","Employed - at work","Part time",458,64,0,598,285,"Black only","$50k-$75k"
"New York","$20,000 to $24,999","White only",32,"Male","Employed - at work","Full time",470,95,0,540,215,"White only","Below $25k"
"Texas","$100,000 to $149,999","White only",44,"Female","Employed - absent","Part time",0,100,265,570,72,"White only","$100k+"
"Indiana","$25,000 to $29,999","White only",36,"Female","Employed - at work","Full time",530,60,0,525,220,"White only","$25k-$50k"
"Florida","$30,000 to $34,999","Black only",35,"Male","Employed - at work","Full time",780,30,0,600,0,"Black only","$25k-$50k"
"Minnesota","$100,000 to $149,999","White only",30,"Female","Employed - at work","Part time",60,30,149,534,90,"White only","$100k+"
"Pennsylvania","$150,000 and over","White only",36,"Female","Employed - at work","Part time",0,25,90,635,135,"White only","$100k+"
"Illinois","$150,000 and over","White only",39,"Male","Employed - at work","Full time",285,50,165,450,370,"White only","$100k+"
"Ohio","$75,000 to $99,999","White only",37,"Female","Employed - at work","Full time",387,111,75,670,60,"White only","$75k-$100k"
"Washington","$75,000 to $99,999","Black only",33,"Female","Employed - at work","Full time",0,0,165,740,355,"Black only","$75k-$100k"
"Florida","$25,000 to $29,999","White only",32,"Male","Employed - absent","Full time",342,135,68,525,272,"White only","$25k-$50k"
"Virginia","$60,000 to $74,999","Black only",44,"Male","Employed - at work","Full time",120,160,170,480,160,"Black only","$50k-$75k"
"Oregon","$100,000 to $149,999","White only",24,"Male","Employed - at work","Full time",515,50,30,540,230,"White only","$100k+"
"North Carolina","$100,000 to $149,999","White only",37,"Male","Employed - at work","Full time",510,62,5,539,15,"White only","$100k+"
"New York","$75,000 to $99,999","White only",17,"Male","Employed - at work","Part time",870,60,0,510,0,"White only","$75k-$100k"
"California","$100,000 to $149,999","Asian only",41,"Female","Employed - at work","Full time",0,34,30,1051,150,"Asian only","$100k+"
"Washington","$12,500 to $14,999","White-American Indian",23,"Female","Employed - at work","Full time",480,40,10,615,215,"Mixed/Other","Below $25k"
"Colorado","$100,000 to $149,999","White only",48,"Female","Employed - at work","Part time",0,110,220,510,180,"White only","$100k+"
"California","$75,000 to $99,999","White only",35,"Female","Employed - at work","Full time",90,92,120,483,30,"White only","$75k-$100k"
"Kansas","$50,000 to $59,999","White only",49,"Female","Employed - at work","Part time",0,0,30,840,530,"White only","$50k-$75k"
"Oklahoma","$60,000 to $74,999","White only",42,"Female","Employed - at work","Full time",525,0,55,625,205,"White only","$50k-$75k"
"Texas","$75,000 to $99,999","White only",43,"Male","Employed - at work","Full time",480,120,20,495,100,"White only","$75k-$100k"
"Washington","$150,000 and over","White only",43,"Male","Employed - at work","Full time",0,40,75,600,585,"White only","$100k+"
"Illinois","$100,000 to $149,999","White only",25,"Male","Employed - at work","Full time",450,165,20,385,375,"White only","$100k+"
"Louisiana","$150,000 and over","White only",47,"Male","Employed - at work","Full time",370,76,39,598,180,"White only","$100k+"
"California","$15,000 to $19,999","Black only",45,"Female","Employed - at work","Full time",450,90,0,410,180,"Black only","Below $25k"
"Pennsylvania","$40,000 to $49,999","White only",21,"Male","Employed - at work","Full time",245,35,170,300,668,"White only","$25k-$50k"
"Colorado","$100,000 to $149,999","White only",38,"Female","Employed - at work","Full time",60,0,0,660,708,"White only","$100k+"
"New York","$150,000 and over","White only",42,"Female","Employed - absent","Full time",45,0,120,510,95,"White only","$100k+"
"Washington","$100,000 to $149,999","White only",44,"Female","Employed - at work","Full time",0,185,80,725,270,"White only","$100k+"
"North Carolina","$75,000 to $99,999","White only",36,"Male","Employed - at work","Full time",690,20,0,430,285,"White only","$75k-$100k"
"Missouri","$75,000 to $99,999","White only",18,"Female","Employed - at work","Part time",505,40,40,485,275,"White only","$75k-$100k"
"Indiana","$75,000 to $99,999","White only",47,"Male","Employed - at work","Full time",530,62,0,570,242,"White only","$75k-$100k"
"Idaho","$40,000 to $49,999","White only",27,"Female","Employed - at work","Part time",0,40,80,675,345,"White only","$25k-$50k"
"North Carolina","$40,000 to $49,999","White only",15,"Female","Employed - at work","Part time",180,2,80,830,338,"White only","$25k-$50k"
"California","$20,000 to $24,999","White only",36,"Female","Employed - at work","Full time",135,41,30,740,165,"White only","Below $25k"
"Kentucky","$30,000 to $34,999","White only",39,"Female","Employed - at work","Part time",450,115,90,435,225,"White only","$25k-$50k"
"Arizona","$40,000 to $49,999","White only",44,"Female","Employed - at work","Full time",505,75,10,575,180,"White only","$25k-$50k"
"Kentucky","$20,000 to $24,999","White only",31,"Male","Employed - at work","Part time",0,10,80,585,435,"White only","Below $25k"
"New York","$100,000 to $149,999","Black only",28,"Male","Employed - at work","Part time",0,60,270,390,600,"Black only","$100k+"
"Missouri","$50,000 to $59,999","White only",38,"Female","Employed - at work","Full time",460,45,50,540,285,"White only","$50k-$75k"
"Maryland","$60,000 to $74,999","White only",49,"Female","Employed - at work","Full time",0,170,125,510,260,"White only","$50k-$75k"
"Oregon","$60,000 to $74,999","White only",31,"Male","Employed - at work","Full time",435,80,65,610,60,"White only","$50k-$75k"
"Florida","$75,000 to $99,999","White only",40,"Female","Employed - at work","Full time",580,40,60,465,105,"White only","$75k-$100k"
"Kentucky","$30,000 to $34,999","Black only",22,"Male","Employed - at work","Full time",525,50,0,645,210,"Black only","$25k-$50k"
"Florida","$60,000 to $74,999","White only",41,"Female","Employed - at work","Full time",0,0,600,740,90,"White only","$50k-$75k"
"New York","$100,000 to $149,999","White only",42,"Male","Employed - at work","Full time",520,80,60,470,180,"White only","$100k+"
"Indiana","$15,000 to $19,999","White only",21,"Female","Employed - at work","Full time",0,0,190,600,458,"White only","Below $25k"
"Georgia","$35,000 to $39,999","Black only",40,"Male","Employed - at work","Full time",485,65,120,560,0,"Black only","$25k-$50k"
"Tennessee","$25,000 to $29,999","Black only",26,"Male","Employed - at work","Full time",525,65,45,463,214,"Black only","$25k-$50k"
"North Carolina","$75,000 to $99,999","White only",32,"Male","Employed - at work","Full time",573,40,32,500,70,"White only","$75k-$100k"
"California","$40,000 to $49,999","White only",29,"Male","Employed - at work","Full time",0,30,270,840,120,"White only","$25k-$50k"
"Texas","$40,000 to $49,999","White only",26,"Male","Employed - at work","Full time",497,138,0,455,85,"White only","$25k-$50k"
"Texas","$75,000 to $99,999","White only",46,"Female","Employed - at work","Full time",0,20,240,720,305,"White only","$75k-$100k"
"North Carolina","$75,000 to $99,999","White only",47,"Male","Employed - at work","Full time",610,40,0,540,0,"White only","$75k-$100k"
"California","$150,000 and over","White only",40,"Female","Employed - at work","Full time",495,20,0,495,265,"White only","$100k+"
"Pennsylvania","$40,000 to $49,999","White only",22,"Female","Employed - at work","Part time",0,0,22,358,840,"White only","$25k-$50k"
"Ohio","$60,000 to $74,999","Black only",44,"Male","Employed - at work","Part time",0,70,0,570,650,"Black only","$50k-$75k"
"Ohio","$50,000 to $59,999","Hawaiian Pacific Islander only",44,"Female","Employed - at work","Full time",0,38,392,420,257,"Mixed/Other","$50k-$75k"
"Texas","$100,000 to $149,999","White only",49,"Male","Employed - at work","Full time",504,75,30,510,195,"White only","$100k+"
"South Carolina","$15,000 to $19,999","White-American Indian",33,"Female","Employed - at work","Full time",465,20,60,465,355,"Mixed/Other","Below $25k"
"Wisconsin","$75,000 to $99,999","White only",43,"Male","Employed - at work","Full time",581,65,12,460,240,"White only","$75k-$100k"
"Ohio","$30,000 to $34,999","White only",41,"Female","Employed - at work","Full time",515,105,30,420,0,"White only","$25k-$50k"
"Georgia","$7,500 to $9,999","Black only",27,"Male","Employed - at work","Full time",285,25,90,840,180,"Black only","Below $25k"
"Colorado","$100,000 to $149,999","White only",32,"Male","Employed - at work","Full time",676,44,0,435,215,"White only","$100k+"
"Alabama","$30,000 to $34,999","White only",49,"Female","Employed - at work","Full time",546,8,105,616,125,"White only","$25k-$50k"
"California","$75,000 to $99,999","White only",31,"Female","Employed - at work","Full time",720,60,0,505,30,"White only","$75k-$100k"
"New Jersey","$60,000 to $74,999","White only",46,"Male","Employed - at work","Full time",555,20,120,605,110,"White only","$50k-$75k"
"Alabama","$50,000 to $59,999","White only",42,"Male","Employed - at work","Full time",474,88,20,510,80,"White only","$50k-$75k"
"Colorado","$60,000 to $74,999","White only",48,"Male","Employed - at work","Full time",0,10,135,840,365,"White only","$50k-$75k"
"Missouri","$20,000 to $24,999","White only",49,"Female","Employed - at work","Part time",0,25,300,615,365,"White only","Below $25k"
"Florida","$40,000 to $49,999","White only",48,"Female","Employed - at work","Full time",503,85,52,600,105,"White only","$25k-$50k"
"Indiana","$10,000 to $12,499","Black only",27,"Female","Employed - at work","Part time",60,0,105,675,180,"Black only","Below $25k"
"Utah","$100,000 to $149,999","White only",34,"Male","Employed - at work","Full time",650,115,10,470,60,"White only","$100k+"
"Indiana","$100,000 to $149,999","White only",38,"Female","Employed - at work","Full time",120,65,115,667,85,"White only","$100k+"
"Illinois","$35,000 to $39,999","White only",19,"Male","Employed - at work","Full time",275,135,0,659,260,"White only","$25k-$50k"
"Virginia","$20,000 to $24,999","White only",45,"Male","Employed - at work","Full time",0,0,0,720,705,"White only","Below $25k"
"Colorado","$20,000 to $24,999","White only",28,"Female","Employed - at work","Full time",360,40,10,770,60,"White only","Below $25k"
"Illinois","$15,000 to $19,999","White only",46,"Male","Employed - at work","Part time",5,30,180,540,640,"White only","Below $25k"
"Florida","$25,000 to $29,999","White only",40,"Male","Employed - at work","Full time",475,130,40,493,90,"White only","$25k-$50k"
"California","$75,000 to $99,999","White only",28,"Male","Employed - at work","Full time",510,20,110,520,60,"White only","$75k-$100k"
"Utah","$100,000 to $149,999","White only",17,"Male","Employed - at work","Part time",0,14,0,625,240,"White only","$100k+"
"Arkansas","$150,000 and over","White only",31,"Male","Employed - at work","Full time",0,145,130,645,318,"White only","$100k+"
"Ohio","$15,000 to $19,999","White only",21,"Female","Employed - at work","Full time",544,84,7,410,282,"White only","Below $25k"
"Colorado","$100,000 to $149,999","White only",40,"Female","Employed - at work","Full time",0,85,120,525,140,"White only","$100k+"
"Texas","$60,000 to $74,999","White only",32,"Female","Employed - at work","Full time",480,55,10,550,290,"White only","$50k-$75k"
"California","$60,000 to $74,999","White only",25,"Male","Employed - at work","Part time",285,133,75,687,205,"White only","$50k-$75k"
"Washington","$75,000 to $99,999","White only",44,"Female","Employed - at work","Full time",2,70,90,661,355,"White only","$75k-$100k"
"Massachusetts","$60,000 to $74,999","White only",30,"Male","Employed - at work","Full time",450,60,80,425,355,"White only","$50k-$75k"
"South Carolina","$75,000 to $99,999","White only",44,"Male","Employed - at work","Full time",0,136,150,510,344,"White only","$75k-$100k"
"Wisconsin","$35,000 to $39,999","White only",39,"Male","Employed - at work","Full time",0,105,60,610,30,"White only","$25k-$50k"
"Michigan","$60,000 to $74,999","White only",33,"Male","Employed - at work","Full time",485,115,80,480,140,"White only","$50k-$75k"
"Indiana","$100,000 to $149,999","White only",49,"Female","Employed - at work","Full time",580,40,0,539,205,"White only","$100k+"
"Colorado","$150,000 and over","White only",17,"Male","Employed - at work","Part time",0,40,15,545,261,"White only","$100k+"
"Ohio","$75,000 to $99,999","White only",42,"Male","Employed - at work","Full time",90,10,300,635,240,"White only","$75k-$100k"
"Pennsylvania","$150,000 and over","White only",39,"Male","Employed - at work","Full time",420,180,0,570,120,"White only","$100k+"
"California","$50,000 to $59,999","White only",45,"Male","Employed - at work","Full time",485,25,90,480,240,"White only","$50k-$75k"
"Wisconsin","$40,000 to $49,999","Black only",42,"Female","Employed - at work","Full time",285,74,0,845,0,"Black only","$25k-$50k"
"California","$7,500 to $9,999","White only",29,"Male","Employed - at work","Full time",0,130,187,807,82,"White only","Below $25k"
"Mississippi","$15,000 to $19,999","White only",36,"Female","Employed - at work","Full time",580,40,120,420,250,"White only","Below $25k"
"Virginia","$100,000 to $149,999","White only",33,"Male","Employed - at work","Full time",0,0,0,510,123,"White only","$100k+"
"New York","$150,000 and over","White only",40,"Male","Employed - at work","Full time",0,60,125,570,478,"White only","$100k+"
"California","$35,000 to $39,999","White only",30,"Female","Employed - at work","Part time",324,120,45,650,65,"White only","$25k-$50k"
"Florida","$5,000 to $7,499","White only",36,"Female","Employed - at work","Full time",240,240,0,960,0,"White only","Below $25k"
"Oklahoma","$75,000 to $99,999","White only",29,"Male","Employed - at work","Full time",0,35,0,720,585,"White only","$75k-$100k"
"Maryland","$75,000 to $99,999","White only",30,"Male","Employed - at work","Full time",0,84,0,720,586,"White only","$75k-$100k"
"South Carolina","$150,000 and over","White only",48,"Male","Employed - at work","Full time",690,60,0,290,340,"White only","$100k+"
"Georgia","Less than $5,000","White only",21,"Male","Employed - at work","Full time",0,58,0,660,650,"White only","Below $25k"
"California","$35,000 to $39,999","White only",28,"Female","Employed - at work","Full time",575,80,0,390,150,"White only","$25k-$50k"
"Missouri","Less than $5,000","White only",36,"Female","Employed - at work","Full time",0,76,375,570,329,"White only","Below $25k"
"Texas","$100,000 to $149,999","White only",33,"Male","Employed - at work","Full time",0,40,40,830,240,"White only","$100k+"
"Illinois","$100,000 to $149,999","White only",46,"Male","Employed - at work","Full time",940,130,0,359,0,"White only","$100k+"
"Oklahoma","$15,000 to $19,999","White only",40,"Female","Employed - at work","Full time",505,115,90,690,30,"White only","Below $25k"
"California","$150,000 and over","Asian only",43,"Male","Employed - at work","Full time",260,290,0,680,180,"Asian only","$100k+"
"Wisconsin","$100,000 to $149,999","White only",32,"Female","Employed - at work","Full time",0,60,390,615,240,"White only","$100k+"
"Minnesota","$150,000 and over","White only",39,"Male","Employed - at work","Full time",0,0,300,540,240,"White only","$100k+"
"Utah","$50,000 to $59,999","White only",30,"Male","Employed - at work","Full time",810,20,0,540,0,"White only","$50k-$75k"
"Illinois","$40,000 to $49,999","White only",41,"Female","Employed - at work","Full time",515,130,0,515,0,"White only","$25k-$50k"
"North Carolina","$15,000 to $19,999","White only",28,"Female","Employed - at work","Full time",0,30,100,640,570,"White only","Below $25k"
"California","$150,000 and over","White only",24,"Male","Employed - at work","Full time",0,0,0,555,875,"White only","$100k+"
"Indiana","$30,000 to $34,999","White only",38,"Male","Employed - at work","Full time",575,60,75,420,145,"White only","$25k-$50k"
"Texas","$35,000 to $39,999","White only",27,"Female","Employed - at work","Full time",430,30,82,589,249,"White only","$25k-$50k"
"Connecticut","$100,000 to $149,999","White only",36,"Male","Employed - at work","Full time",469,65,25,520,90,"White only","$100k+"
"New York","$15,000 to $19,999","Black only",30,"Male","Employed - at work","Full time",540,98,5,560,75,"Black only","Below $25k"
"Ohio","$10,000 to $12,499","Black only",46,"Female","Employed - at work","Part time",0,30,245,630,415,"Black only","Below $25k"
"California","$15,000 to $19,999","White only",29,"Female","Employed - at work","Full time",450,128,30,580,0,"White only","Below $25k"
"Arkansas","$20,000 to $24,999","Black only",49,"Male","Employed - at work","Part time",345,40,0,560,485,"Black only","Below $25k"
"Maryland","$75,000 to $99,999","White only",48,"Male","Employed - at work","Part time",504,12,40,443,289,"White only","$75k-$100k"
"California","$150,000 and over","White only",49,"Male","Employed - at work","Full time",540,175,30,465,120,"White only","$100k+"
"Illinois","$40,000 to $49,999","Asian only",26,"Male","Employed - at work","Full time",0,43,255,786,211,"Asian only","$25k-$50k"
"Iowa","$150,000 and over","White only",32,"Female","Employed - at work","Full time",0,0,360,510,60,"White only","$100k+"
"California","$100,000 to $149,999","White only",41,"Male","Employed - at work","Full time",150,45,57,815,140,"White only","$100k+"
"California","$150,000 and over","White only",48,"Female","Employed - at work","Part time",520,100,90,515,150,"White only","$100k+"
"Illinois","$150,000 and over","White only",31,"Female","Employed - at work","Part time",0,45,160,610,320,"White only","$100k+"
"Texas","$40,000 to $49,999","White only",38,"Male","Employed - at work","Full time",625,40,0,475,105,"White only","$25k-$50k"
"Massachusetts","$15,000 to $19,999","White only",28,"Female","Employed - at work","Part time",455,100,125,540,140,"White only","Below $25k"
"Georgia","$100,000 to $149,999","White only",48,"Male","Employed - at work","Full time",0,85,80,620,345,"White only","$100k+"
"Oregon","$50,000 to $59,999","White only",35,"Male","Employed - at work","Full time",0,77,301,450,492,"White only","$50k-$75k"
"Ohio","$5,000 to $7,499","Black only",45,"Male","Employed - at work","Part time",300,120,0,660,165,"Black only","Below $25k"
"South Dakota","$50,000 to $59,999","White only",40,"Female","Employed - at work","Full time",538,6,0,660,216,"White only","$50k-$75k"
"Pennsylvania","$40,000 to $49,999","White only",33,"Female","Employed - at work","Full time",390,93,70,502,235,"White only","$25k-$50k"
"California","$40,000 to $49,999","Black only",42,"Male","Employed - at work","Full time",0,80,5,755,560,"Black only","$25k-$50k"
"Missouri","$150,000 and over","White only",30,"Male","Employed - at work","Full time",435,100,0,570,55,"White only","$100k+"
"New Mexico","$10,000 to $12,499","White only",26,"Male","Employed - at work","Part time",0,28,5,585,255,"White only","Below $25k"
"Michigan","$50,000 to $59,999","Black only",42,"Female","Employed - at work","Full time",0,75,205,600,250,"Black only","$50k-$75k"
"Montana","$60,000 to $74,999","White only",47,"Male","Employed - at work","Full time",465,60,45,450,330,"White only","$50k-$75k"
"Georgia","$100,000 to $149,999","Black only",39,"Male","Employed - at work","Full time",0,110,60,555,500,"Black only","$100k+"
"New York","$30,000 to $34,999","Asian only",30,"Male","Employed - at work","Full time",0,0,15,780,615,"Asian only","$25k-$50k"
"Texas","$10,000 to $12,499","White only",23,"Male","Employed - at work","Part time",0,215,0,565,540,"White only","Below $25k"
"California","$20,000 to $24,999","White only",22,"Male","Employed - at work","Full time",0,85,60,510,425,"White only","Below $25k"
"California","$150,000 and over","White only",31,"Male","Employed - at work","Full time",0,130,0,620,430,"White only","$100k+"
"Florida","$40,000 to $49,999","White only",28,"Female","Employed - at work","Full time",570,75,0,525,180,"White only","$25k-$50k"
"North Carolina","$60,000 to $74,999","Asian only",45,"Female","Employed - at work","Full time",725,30,150,325,0,"Asian only","$50k-$75k"
"Florida","$75,000 to $99,999","White only",42,"Male","Employed - at work","Full time",0,195,125,415,615,"White only","$75k-$100k"
"Louisiana","$50,000 to $59,999","Black only",31,"Female","Employed - at work","Full time",0,35,165,700,450,"Black only","$50k-$75k"
"New Jersey","$75,000 to $99,999","Black only",43,"Female","Employed - at work","Full time",414,63,115,645,150,"Black only","$75k-$100k"
"Michigan","$50,000 to $59,999","White only",25,"Male","Employed - at work","Full time",555,92,52,385,223,"White only","$50k-$75k"
"Pennsylvania","$25,000 to $29,999","White only",23,"Male","Employed - at work","Full time",600,40,45,495,80,"White only","$25k-$50k"
"Texas","Less than $5,000","Black only",45,"Female","Employed - at work","Full time",480,30,75,540,285,"Black only","Below $25k"
"Connecticut","Less than $5,000","Black only",30,"Female","Employed - at work","Part time",0,35,170,651,235,"Black only","Below $25k"
"Oklahoma","$100,000 to $149,999","White only",43,"Female","Employed - at work","Full time",0,160,10,470,615,"White only","$100k+"
"District of Columbia","$100,000 to $149,999","White only",49,"Female","Employed - at work","Full time",445,65,5,570,0,"White only","$100k+"
"Georgia","$75,000 to $99,999","White only",32,"Female","Employed - at work","Full time",594,61,30,435,180,"White only","$75k-$100k"
"Florida","$25,000 to $29,999","White only",44,"Male","Employed - at work","Full time",510,60,0,480,180,"White only","$25k-$50k"
"Wisconsin","$150,000 and over","White only",46,"Male","Employed - at work","Full time",498,55,0,540,260,"White only","$100k+"
"Texas","$150,000 and over","White only",38,"Female","Employed - at work","Full time",730,20,0,610,0,"White only","$100k+"
"Texas","$40,000 to $49,999","White only",24,"Female","Employed - at work","Full time",0,60,30,690,615,"White only","$25k-$50k"
"Florida","$100,000 to $149,999","White only",33,"Male","Employed - at work","Full time",5,90,385,535,150,"White only","$100k+"
"Massachusetts","$40,000 to $49,999","White only",37,"Female","Employed - at work","Part time",210,75,5,752,190,"White only","$25k-$50k"
"Missouri","$12,500 to $14,999","White only",17,"Female","Employed - at work","Part time",0,150,60,545,592,"White only","Below $25k"
"Vermont","$75,000 to $99,999","White only",32,"Male","Employed - at work","Full time",0,45,75,690,570,"White only","$75k-$100k"
"Maryland","$100,000 to $149,999","Black only",46,"Male","Employed - at work","Full time",515,50,15,510,315,"Black only","$100k+"
"Illinois","$100,000 to $149,999","White only",31,"Female","Employed - at work","Full time",0,0,240,450,105,"White only","$100k+"
"Minnesota","$75,000 to $99,999","White only",39,"Female","Employed - at work","Part time",535,65,0,595,165,"White only","$75k-$100k"
"Florida","$5,000 to $7,499","Black only",26,"Female","Employed - absent","Full time",0,50,0,555,735,"Black only","Below $25k"
"Iowa","$35,000 to $39,999","White only",24,"Female","Employed - at work","Full time",760,125,0,450,45,"White only","$25k-$50k"
"Maine","$75,000 to $99,999","White only",34,"Male","Employed - at work","Full time",400,120,0,420,260,"White only","$75k-$100k"
