state,fam_income,race,age,sex,emp,fullpart,work,travel,household,pcare,leisure
Wisconsin,"$75,000 to $99,999",White only,40,Female,Employed - at work,Part time,392,167,107,450,135
Indiana,"$60,000 to $74,999",White only,40,Female,Employed - at work,Full time,495,90,60,505,0
California,"$150,000 and over",White only,48,Female,Employed - at work,Part time,265,60,41,675,289
Arkansas,"$50,000 to $59,999",Black only,42,Male,Employed - at work,Full time,455,71,21,470,374
Virginia,"$50,000 to $59,999",White only,34,Male,Employed - at work,Full time,90,104,130,813,206
Maryland,"$100,000 to $149,999",Black only,35,Female,Employed - at work,Full time,575,165,0,570,120
New Mexico,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,0,30,235,750,305
California,"$30,000 to $34,999",White only,45,Male,Employed - at work,Part time,0,30,30,765,480
Oregon,"$60,000 to $74,999",White only,36,Male,Employed - at work,Full time,473,54,35,410,298
Iowa,"$60,000 to $74,999",White only,36,Male,Employed - at work,Full time,0,0,60,660,630
Minnesota,"$75,000 to $99,999",Asian only,36,Male,Employed - at work,Full time,525,0,90,480,210
North Carolina,"$15,000 to $19,999",White only,35,Male,Employed - at work,Full time,525,40,0,620,160
Minnesota,"$40,000 to $49,999",Black only,25,Male,Employed - at work,Full time,475,175,0,570,120
Illinois,"$40,000 to $49,999",White only,37,Female,Employed - at work,Full time,0,0,315,690,360
New Jersey,"$75,000 to $99,999",White only,47,Female,Employed - at work,Full time,0,75,445,510,90
Michigan,"$75,000 to $99,999",White only,49,Female,Employed - absent,Part time,0,225,185,575,155
Texas,"$25,000 to $29,999",White only,34,Male,Employed - at work,Full time,0,0,345,630,400
Kansas,"$40,000 to $49,999",White only,42,Male,Employed - at work,Full time,633,29,30,335,393
Massachusetts,"$100,000 to $149,999",White only,46,Female,Employed - at work,Full time,439,115,31,510,275
Pennsylvania,"$40,000 to $49,999",White only,34,Female,Employed - at work,Part time,300,30,255,525,30
California,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,0,135,0,510,555
Arizona,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,660,60,0,525,135
Nevada,"$100,000 to $149,999",Black only,49,Female,Employed - at work,Full time,555,45,0,600,0
New Jersey,"$100,000 to $149,999",Asian only,37,Female,Employed - at work,Full time,0,60,350,685,242
Florida,"$20,000 to $24,999",White only,16,Female,Employed - at work,Part time,465,69,40,655,155
Colorado,"$75,000 to $99,999",White only,30,Male,Employed - at work,Full time,240,66,180,694,60
Idaho,"$150,000 and over",White only,38,Female,Employed - at work,Full time,515,120,60,520,120
Tennessee,"$20,000 to $24,999",White only,24,Male,Employed - at work,Full time,500,132,20,485,114
New York,"$40,000 to $49,999",White only,28,Male,Employed - at work,Full time,485,70,130,485,205
California,"$40,000 to $49,999",White only,27,Male,Employed - at work,Full time,475,195,30,510,185
Connecticut,"$150,000 and over",White only,17,Female,Employed - at work,Part time,0,128,0,956,270
North Carolina,"$60,000 to $74,999",White only,22,Male,Employed - at work,Full time,0,60,0,733,80
California,"$15,000 to $19,999",White only,26,Male,Employed - at work,Part time,0,74,145,750,271
Missouri,"$15,000 to $19,999",Black only,48,Male,Employed - at work,Part time,0,180,203,620,195
Texas,"$10,000 to $12,499",Black only,35,Female,Employed - at work,Full time,440,75,0,735,60
Arizona,"$60,000 to $74,999",Black only,39,Female,Employed - at work,Part time,458,64,0,598,285
New York,"$20,000 to $24,999",White only,32,Male,Employed - at work,Full time,470,95,0,540,215
Texas,"$100,000 to $149,999",White only,44,Female,Employed - absent,Part time,0,100,265,570,72
Indiana,"$25,000 to $29,999",White only,36,Female,Employed - at work,Full time,530,60,0,525,220
Florida,"$30,000 to $34,999",Black only,35,Male,Employed - at work,Full time,780,30,0,600,0
Minnesota,"$100,000 to $149,999",White only,30,Female,Employed - at work,Part time,60,30,149,534,90
Pennsylvania,"$150,000 and over",White only,36,Female,Employed - at work,Part time,0,25,90,635,135
Illinois,"$150,000 and over",White only,39,Male,Employed - at work,Full time,285,50,165,450,370
Ohio,"$75,000 to $99,999",White only,37,Female,Employed - at work,Full time,387,111,75,670,60
Washington,"$75,000 to $99,999",Black only,33,Female,Employed - at work,Full time,0,0,165,740,355
Florida,"$25,000 to $29,999",White only,32,Male,Employed - absent,Full time,342,135,68,525,272
Virginia,"$60,000 to $74,999",Black only,44,Male,Employed - at work,Full time,120,160,170,480,160
Oregon,"$100,000 to $149,999",White only,24,Male,Employed - at work,Full time,515,50,30,540,230
North Carolina,"$100,000 to $149,999",White only,37,Male,Employed - at work,Full time,510,62,5,539,15
New York,"$75,000 to $99,999",White only,17,Male,Employed - at work,Part time,870,60,0,510,0
California,"$100,000 to $149,999",Asian only,41,Female,Employed - at work,Full time,0,34,30,1051,150
Washington,"$12,500 to $14,999",White-American Indian,23,Female,Employed - at work,Full time,480,40,10,615,215
Colorado,"$100,000 to $149,999",White only,48,Female,Employed - at work,Part time,0,110,220,510,180
California,"$75,000 to $99,999",White only,35,Female,Employed - at work,Full time,90,92,120,483,30
Kansas,"$50,000 to $59,999",White only,49,Female,Employed - at work,Part time,0,0,30,840,530
Oklahoma,"$60,000 to $74,999",White only,42,Female,Employed - at work,Full time,525,0,55,625,205
Texas,"$75,000 to $99,999",White only,43,Male,Employed - at work,Full time,480,120,20,495,100
Washington,"$150,000 and over",White only,43,Male,Employed - at work,Full time,0,40,75,600,585
Illinois,"$100,000 to $149,999",White only,25,Male,Employed - at work,Full time,450,165,20,385,375
Louisiana,"$150,000 and over",White only,47,Male,Employed - at work,Full time,370,76,39,598,180
California,"$15,000 to $19,999",Black only,45,Female,Employed - at work,Full time,450,90,0,410,180
Pennsylvania,"$40,000 to $49,999",White only,21,Male,Employed - at work,Full time,245,35,170,300,668
Colorado,"$100,000 to $149,999",White only,38,Female,Employed - at work,Full time,60,0,0,660,708
New York,"$150,000 and over",White only,42,Female,Employed - absent,Full time,45,0,120,510,95
Washington,"$100,000 to $149,999",White only,44,Female,Employed - at work,Full time,0,185,80,725,270
North Carolina,"$75,000 to $99,999",White only,36,Male,Employed - at work,Full time,690,20,0,430,285
Missouri,"$75,000 to $99,999",White only,18,Female,Employed - at work,Part time,505,40,40,485,275
Indiana,"$75,000 to $99,999",White only,47,Male,Employed - at work,Full time,530,62,0,570,242
Idaho,"$40,000 to $49,999",White only,27,Female,Employed - at work,Part time,0,40,80,675,345
North Carolina,"$40,000 to $49,999",White only,15,Female,Employed - at work,Part time,180,2,80,830,338
California,"$20,000 to $24,999",White only,36,Female,Employed - at work,Full time,135,41,30,740,165
Kentucky,"$30,000 to $34,999",White only,39,Female,Employed - at work,Part time,450,115,90,435,225
Arizona,"$40,000 to $49,999",White only,44,Female,Employed - at work,Full time,505,75,10,575,180
Kentucky,"$20,000 to $24,999",White only,31,Male,Employed - at work,Part time,0,10,80,585,435
New York,"$100,000 to $149,999",Black only,28,Male,Employed - at work,Part time,0,60,270,390,600
Missouri,"$50,000 to $59,999",White only,38,Female,Employed - at work,Full time,460,45,50,540,285
Maryland,"$60,000 to $74,999",White only,49,Female,Employed - at work,Full time,0,170,125,510,260
Oregon,"$60,000 to $74,999",White only,31,Male,Employed - at work,Full time,435,80,65,610,60
Florida,"$75,000 to $99,999",White only,40,Female,Employed - at work,Full time,580,40,60,465,105
Kentucky,"$30,000 to $34,999",Black only,22,Male,Employed - at work,Full time,525,50,0,645,210
Florida,"$60,000 to $74,999",White only,41,Female,Employed - at work,Full time,0,0,600,740,90
New York,"$100,000 to $149,999",White only,42,Male,Employed - at work,Full time,520,80,60,470,180
Indiana,"$15,000 to $19,999",White only,21,Female,Employed - at work,Full time,0,0,190,600,458
Georgia,"$35,000 to $39,999",Black only,40,Male,Employed - at work,Full time,485,65,120,560,0
Tennessee,"$25,000 to $29,999",Black only,26,Male,Employed - at work,Full time,525,65,45,463,214
North Carolina,"$75,000 to $99,999",White only,32,Male,Employed - at work,Full time,573,40,32,500,70
California,"$40,000 to $49,999",White only,29,Male,Employed - at work,Full time,0,30,270,840,120
Texas,"$40,000 to $49,999",White only,26,Male,Employed - at work,Full time,497,138,0,455,85
Texas,"$75,000 to $99,999",White only,46,Female,Employed - at work,Full time,0,20,240,720,305
North Carolina,"$75,000 to $99,999",White only,47,Male,Employed - at work,Full time,610,40,0,540,0
California,"$150,000 and over",White only,40,Female,Employed - at work,Full time,495,20,0,495,265
Pennsylvania,"$40,000 to $49,999",White only,22,Female,Employed - at work,Part time,0,0,22,358,840
Ohio,"$60,000 to $74,999",Black only,44,Male,Employed - at work,Part time,0,70,0,570,650
Ohio,"$50,000 to $59,999",Hawaiian Pacific Islander only,44,Female,Employed - at work,Full time,0,38,392,420,257
Texas,"$100,000 to $149,999",White only,49,Male,Employed - at work,Full time,504,75,30,510,195
South Carolina,"$15,000 to $19,999",White-American Indian,33,Female,Employed - at work,Full time,465,20,60,465,355
Wisconsin,"$75,000 to $99,999",White only,43,Male,Employed - at work,Full time,581,65,12,460,240
Ohio,"$30,000 to $34,999",White only,41,Female,Employed - at work,Full time,515,105,30,420,0
Georgia,"$7,500 to $9,999",Black only,27,Male,Employed - at work,Full time,285,25,90,840,180
Colorado,"$100,000 to $149,999",White only,32,Male,Employed - at work,Full time,676,44,0,435,215
Alabama,"$30,000 to $34,999",White only,49,Female,Employed - at work,Full time,546,8,105,616,125
California,"$75,000 to $99,999",White only,31,Female,Employed - at work,Full time,720,60,0,505,30
New Jersey,"$60,000 to $74,999",White only,46,Male,Employed - at work,Full time,555,20,120,605,110
Alabama,"$50,000 to $59,999",White only,42,Male,Employed - at work,Full time,474,88,20,510,80
Colorado,"$60,000 to $74,999",White only,48,Male,Employed - at work,Full time,0,10,135,840,365
Missouri,"$20,000 to $24,999",White only,49,Female,Employed - at work,Part time,0,25,300,615,365
Florida,"$40,000 to $49,999",White only,48,Female,Employed - at work,Full time,503,85,52,600,105
Indiana,"$10,000 to $12,499",Black only,27,Female,Employed - at work,Part time,60,0,105,675,180
Utah,"$100,000 to $149,999",White only,34,Male,Employed - at work,Full time,650,115,10,470,60
Indiana,"$100,000 to $149,999",White only,38,Female,Employed - at work,Full time,120,65,115,667,85
Illinois,"$35,000 to $39,999",White only,19,Male,Employed - at work,Full time,275,135,0,659,260
Virginia,"$20,000 to $24,999",White only,45,Male,Employed - at work,Full time,0,0,0,720,705
Colorado,"$20,000 to $24,999",White only,28,Female,Employed - at work,Full time,360,40,10,770,60
Illinois,"$15,000 to $19,999",White only,46,Male,Employed - at work,Part time,5,30,180,540,640
Florida,"$25,000 to $29,999",White only,40,Male,Employed - at work,Full time,475,130,40,493,90
California,"$75,000 to $99,999",White only,28,Male,Employed - at work,Full time,510,20,110,520,60
Utah,"$100,000 to $149,999",White only,17,Male,Employed - at work,Part time,0,14,0,625,240
Arkansas,"$150,000 and over",White only,31,Male,Employed - at work,Full time,0,145,130,645,318
Ohio,"$15,000 to $19,999",White only,21,Female,Employed - at work,Full time,544,84,7,410,282
Colorado,"$100,000 to $149,999",White only,40,Female,Employed - at work,Full time,0,85,120,525,140
Texas,"$60,000 to $74,999",White only,32,Female,Employed - at work,Full time,480,55,10,550,290
California,"$60,000 to $74,999",White only,25,Male,Employed - at work,Part time,285,133,75,687,205
Washington,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,2,70,90,661,355
Massachusetts,"$60,000 to $74,999",White only,30,Male,Employed - at work,Full time,450,60,80,425,355
South Carolina,"$75,000 to $99,999",White only,44,Male,Employed - at work,Full time,0,136,150,510,344
Wisconsin,"$35,000 to $39,999",White only,39,Male,Employed - at work,Full time,0,105,60,610,30
Michigan,"$60,000 to $74,999",White only,33,Male,Employed - at work,Full time,485,115,80,480,140
Indiana,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,580,40,0,539,205
Colorado,"$150,000 and over",White only,17,Male,Employed - at work,Part time,0,40,15,545,261
Ohio,"$75,000 to $99,999",White only,42,Male,Employed - at work,Full time,90,10,300,635,240
Pennsylvania,"$150,000 and over",White only,39,Male,Employed - at work,Full time,420,180,0,570,120
California,"$50,000 to $59,999",White only,45,Male,Employed - at work,Full time,485,25,90,480,240
Wisconsin,"$40,000 to $49,999",Black only,42,Female,Employed - at work,Full time,285,74,0,845,0
California,"$7,500 to $9,999",White only,29,Male,Employed - at work,Full time,0,130,187,807,82
Mississippi,"$15,000 to $19,999",White only,36,Female,Employed - at work,Full time,580,40,120,420,250
Virginia,"$100,000 to $149,999",White only,33,Male,Employed - at work,Full time,0,0,0,510,123
New York,"$150,000 and over",White only,40,Male,Employed - at work,Full time,0,60,125,570,478
California,"$35,000 to $39,999",White only,30,Female,Employed - at work,Part time,324,120,45,650,65
Florida,"$5,000 to $7,499",White only,36,Female,Employed - at work,Full time,240,240,0,960,0
Oklahoma,"$75,000 to $99,999",White only,29,Male,Employed - at work,Full time,0,35,0,720,585
Maryland,"$75,000 to $99,999",White only,30,Male,Employed - at work,Full time,0,84,0,720,586
South Carolina,"$150,000 and over",White only,48,Male,Employed - at work,Full time,690,60,0,290,340
Georgia,"Less than $5,000",White only,21,Male,Employed - at work,Full time,0,58,0,660,650
California,"$35,000 to $39,999",White only,28,Female,Employed - at work,Full time,575,80,0,390,150
Missouri,"Less than $5,000",White only,36,Female,Employed - at work,Full time,0,76,375,570,329
Texas,"$100,000 to $149,999",White only,33,Male,Employed - at work,Full time,0,40,40,830,240
Illinois,"$100,000 to $149,999",White only,46,Male,Employed - at work,Full time,940,130,0,359,0
Oklahoma,"$15,000 to $19,999",White only,40,Female,Employed - at work,Full time,505,115,90,690,30
California,"$150,000 and over",Asian only,43,Male,Employed - at work,Full time,260,290,0,680,180
Wisconsin,"$100,000 to $149,999",White only,32,Female,Employed - at work,Full time,0,60,390,615,240
Minnesota,"$150,000 and over",White only,39,Male,Employed - at work,Full time,0,0,300,540,240
Utah,"$50,000 to $59,999",White only,30,Male,Employed - at work,Full time,810,20,0,540,0
Illinois,"$40,000 to $49,999",White only,41,Female,Employed - at work,Full time,515,130,0,515,0
North Carolina,"$15,000 to $19,999",White only,28,Female,Employed - at work,Full time,0,30,100,640,570
California,"$150,000 and over",White only,24,Male,Employed - at work,Full time,0,0,0,555,875
Indiana,"$30,000 to $34,999",White only,38,Male,Employed - at work,Full time,575,60,75,420,145
Texas,"$35,000 to $39,999",White only,27,Female,Employed - at work,Full time,430,30,82,589,249
Connecticut,"$100,000 to $149,999",White only,36,Male,Employed - at work,Full time,469,65,25,520,90
New York,"$15,000 to $19,999",Black only,30,Male,Employed - at work,Full time,540,98,5,560,75
Ohio,"$10,000 to $12,499",Black only,46,Female,Employed - at work,Part time,0,30,245,630,415
California,"$15,000 to $19,999",White only,29,Female,Employed - at work,Full time,450,128,30,580,0
Arkansas,"$20,000 to $24,999",Black only,49,Male,Employed - at work,Part time,345,40,0,560,485
Maryland,"$75,000 to $99,999",White only,48,Male,Employed - at work,Part time,504,12,40,443,289
California,"$150,000 and over",White only,49,Male,Employed - at work,Full time,540,175,30,465,120
Illinois,"$40,000 to $49,999",Asian only,26,Male,Employed - at work,Full time,0,43,255,786,211
Iowa,"$150,000 and over",White only,32,Female,Employed - at work,Full time,0,0,360,510,60
California,"$100,000 to $149,999",White only,41,Male,Employed - at work,Full time,150,45,57,815,140
California,"$150,000 and over",White only,48,Female,Employed - at work,Part time,520,100,90,515,150
Illinois,"$150,000 and over",White only,31,Female,Employed - at work,Part time,0,45,160,610,320
Texas,"$40,000 to $49,999",White only,38,Male,Employed - at work,Full time,625,40,0,475,105
Massachusetts,"$15,000 to $19,999",White only,28,Female,Employed - at work,Part time,455,100,125,540,140
Georgia,"$100,000 to $149,999",White only,48,Male,Employed - at work,Full time,0,85,80,620,345
Oregon,"$50,000 to $59,999",White only,35,Male,Employed - at work,Full time,0,77,301,450,492
Ohio,"$5,000 to $7,499",Black only,45,Male,Employed - at work,Part time,300,120,0,660,165
South Dakota,"$50,000 to $59,999",White only,40,Female,Employed - at work,Full time,538,6,0,660,216
Pennsylvania,"$40,000 to $49,999",White only,33,Female,Employed - at work,Full time,390,93,70,502,235
California,"$40,000 to $49,999",Black only,42,Male,Employed - at work,Full time,0,80,5,755,560
Missouri,"$150,000 and over",White only,30,Male,Employed - at work,Full time,435,100,0,570,55
New Mexico,"$10,000 to $12,499",White only,26,Male,Employed - at work,Part time,0,28,5,585,255
Michigan,"$50,000 to $59,999",Black only,42,Female,Employed - at work,Full time,0,75,205,600,250
Montana,"$60,000 to $74,999",White only,47,Male,Employed - at work,Full time,465,60,45,450,330
Georgia,"$100,000 to $149,999",Black only,39,Male,Employed - at work,Full time,0,110,60,555,500
New York,"$30,000 to $34,999",Asian only,30,Male,Employed - at work,Full time,0,0,15,780,615
Texas,"$10,000 to $12,499",White only,23,Male,Employed - at work,Part time,0,215,0,565,540
California,"$20,000 to $24,999",White only,22,Male,Employed - at work,Full time,0,85,60,510,425
California,"$150,000 and over",White only,31,Male,Employed - at work,Full time,0,130,0,620,430
Florida,"$40,000 to $49,999",White only,28,Female,Employed - at work,Full time,570,75,0,525,180
North Carolina,"$60,000 to $74,999",Asian only,45,Female,Employed - at work,Full time,725,30,150,325,0
Florida,"$75,000 to $99,999",White only,42,Male,Employed - at work,Full time,0,195,125,415,615
Louisiana,"$50,000 to $59,999",Black only,31,Female,Employed - at work,Full time,0,35,165,700,450
New Jersey,"$75,000 to $99,999",Black only,43,Female,Employed - at work,Full time,414,63,115,645,150
Michigan,"$50,000 to $59,999",White only,25,Male,Employed - at work,Full time,555,92,52,385,223
Pennsylvania,"$25,000 to $29,999",White only,23,Male,Employed - at work,Full time,600,40,45,495,80
Texas,"Less than $5,000",Black only,45,Female,Employed - at work,Full time,480,30,75,540,285
Connecticut,"Less than $5,000",Black only,30,Female,Employed - at work,Part time,0,35,170,651,235
Oklahoma,"$100,000 to $149,999",White only,43,Female,Employed - at work,Full time,0,160,10,470,615
District of Columbia,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,445,65,5,570,0
Georgia,"$75,000 to $99,999",White only,32,Female,Employed - at work,Full time,594,61,30,435,180
Florida,"$25,000 to $29,999",White only,44,Male,Employed - at work,Full time,510,60,0,480,180
Wisconsin,"$150,000 and over",White only,46,Male,Employed - at work,Full time,498,55,0,540,260
Texas,"$150,000 and over",White only,38,Female,Employed - at work,Full time,730,20,0,610,0
Texas,"$40,000 to $49,999",White only,24,Female,Employed - at work,Full time,0,60,30,690,615
Florida,"$100,000 to $149,999",White only,33,Male,Employed - at work,Full time,5,90,385,535,150
Massachusetts,"$40,000 to $49,999",White only,37,Female,Employed - at work,Part time,210,75,5,752,190
Missouri,"$12,500 to $14,999",White only,17,Female,Employed - at work,Part time,0,150,60,545,592
Vermont,"$75,000 to $99,999",White only,32,Male,Employed - at work,Full time,0,45,75,690,570
Maryland,"$100,000 to $149,999",Black only,46,Male,Employed - at work,Full time,515,50,15,510,315
Illinois,"$100,000 to $149,999",White only,31,Female,Employed - at work,Full time,0,0,240,450,105
Minnesota,"$75,000 to $99,999",White only,39,Female,Employed - at work,Part time,535,65,0,595,165
Florida,"$5,000 to $7,499",Black only,26,Female,Employed - absent,Full time,0,50,0,555,735
Iowa,"$35,000 to $39,999",White only,24,Female,Employed - at work,Full time,760,125,0,450,45
Maine,"$75,000 to $99,999",White only,34,Male,Employed - at work,Full time,400,120,0,420,260
Washington,"$150,000 and over",White only,44,Female,Employed - absent,Full time,0,0,630,465,165
New Jersey,"$100,000 to $149,999",White only,48,Male,Employed - at work,Full time,490,50,90,540,150
California,"$100,000 to $149,999",White only,43,Male,Employed - at work,Full time,0,0,345,480,195
Georgia,"$60,000 to $74,999",Asian only,33,Male,Employed - at work,Full time,50,65,0,540,560
Illinois,"$100,000 to $149,999",White only,30,Female,Employed - at work,Part time,210,85,65,690,60
Massachusetts,"$100,000 to $149,999",White only,33,Female,Employed - at work,Full time,510,135,30,570,90
Indiana,"$100,000 to $149,999",White only,44,Female,Employed - at work,Part time,0,125,60,660,200
Ohio,"$60,000 to $74,999",White only,34,Female,Employed - at work,Full time,15,35,310,650,245
California,"$100,000 to $149,999",Asian only,37,Female,Employed - at work,Full time,460,80,15,510,160
Texas,"$15,000 to $19,999",White only,29,Female,Employed - at work,Full time,0,62,48,708,362
Texas,"$100,000 to $149,999",White only,32,Male,Employed - at work,Full time,0,90,90,495,644
Minnesota,"$100,000 to $149,999",White only,40,Female,Employed - at work,Part time,60,0,375,510,330
Ohio,"$60,000 to $74,999",White only,29,Female,Employed - at work,Full time,0,30,480,550,120
Colorado,"$75,000 to $99,999",White only,31,Male,Employed - at work,Full time,475,60,60,480,90
Ohio,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,1265,25,30,120,0
Arkansas,"$60,000 to $74,999",White only,33,Female,Employed - at work,Full time,470,120,165,475,140
Massachusetts,"$75,000 to $99,999",White only,42,Female,Employed - at work,Full time,520,40,100,540,0
Virginia,"$100,000 to $149,999",White only,43,Female,Employed - at work,Full time,765,115,20,415,120
Michigan,"$150,000 and over",White only,44,Male,Employed - at work,Full time,0,85,60,590,200
Wyoming,"$35,000 to $39,999",White only,48,Male,Employed - at work,Full time,5,118,160,515,572
South Carolina,"$75,000 to $99,999",Black only,44,Female,Employed - at work,Part time,500,30,84,420,386
California,"$60,000 to $74,999",White only,41,Female,Employed - at work,Part time,0,60,105,705,405
Minnesota,"$50,000 to $59,999",White only,29,Male,Employed - at work,Full time,0,0,50,720,540
Utah,"$60,000 to $74,999",White only,48,Male,Employed - at work,Full time,0,10,60,740,420
Georgia,"$75,000 to $99,999",White only,39,Female,Employed - at work,Part time,0,30,455,655,235
New Hampshire,"$50,000 to $59,999",White only,32,Female,Employed - at work,Full time,440,60,115,510,160
Wisconsin,"$50,000 to $59,999",White only,28,Male,Employed - at work,Full time,560,92,0,588,89
California,"$60,000 to $74,999",White only,43,Male,Employed - at work,Full time,0,0,180,600,570
California,"$7,500 to $9,999",White only,20,Female,Employed - at work,Part time,0,124,45,600,601
Nebraska,"$100,000 to $149,999",White only,32,Female,Employed - at work,Full time,5,121,110,551,240
Illinois,"$150,000 and over",White only,15,Male,Employed - at work,Part time,0,70,2,587,387
New York,"$100,000 to $149,999",White only,21,Female,Employed - at work,Full time,440,45,70,525,315
Missouri,"$50,000 to $59,999",White only,48,Female,Employed - at work,Full time,490,20,30,545,120
Nevada,"$60,000 to $74,999",White only,26,Female,Employed - at work,Part time,810,50,0,330,110
Ohio,"$30,000 to $34,999",White only,33,Male,Employed - at work,Full time,497,82,0,555,147
District of Columbia,"$20,000 to $24,999",Black only,34,Male,Employed - at work,Full time,535,34,0,480,165
Virginia,"Less than $5,000",White only,48,Female,Employed - absent,Part time,0,0,31,594,750
Texas,"$75,000 to $99,999",White only,49,Male,Employed - at work,Full time,665,45,0,530,130
California,"$35,000 to $39,999",White only,46,Male,Employed - at work,Full time,0,65,175,710,70
Washington,"$150,000 and over",White only,49,Female,Employed - at work,Full time,540,50,60,595,150
Florida,"$20,000 to $24,999",White only,46,Female,Employed - at work,Full time,0,60,95,745,250
Arizona,"$75,000 to $99,999","American Indian, Alaskan Native",31,Female,Employed - at work,Full time,615,50,85,465,75
Georgia,"$50,000 to $59,999",Black only,44,Male,Employed - at work,Part time,0,50,150,735,310
Indiana,"$30,000 to $34,999",White only,27,Male,Employed - at work,Full time,445,89,5,468,330
Texas,"$150,000 and over",White only,48,Female,Employed - at work,Full time,469,29,80,653,60
Indiana,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,0,277,5,540,375
Illinois,"$75,000 to $99,999",White only,47,Female,Employed - at work,Part time,0,50,553,605,60
Michigan,"$75,000 to $99,999",White only,48,Male,Employed - at work,Full time,0,82,120,490,598
New York,"$40,000 to $49,999",White only,46,Female,Employed - at work,Full time,0,0,350,720,330
Oregon,"$30,000 to $34,999",White only,31,Male,Employed - at work,Full time,0,60,50,990,230
New York,"$30,000 to $34,999",White only,44,Female,Employed - at work,Full time,470,145,80,405,175
Maryland,"$75,000 to $99,999",White only,30,Female,Employed - at work,Full time,0,80,175,610,290
Oregon,"$15,000 to $19,999",White only,41,Male,Employed - at work,Part time,0,0,75,780,540
California,"$30,000 to $34,999",White only,40,Female,Employed - at work,Part time,0,105,190,580,50
New York,"$150,000 and over",White only,43,Female,Employed - at work,Full time,355,70,32,623,0
Minnesota,"$150,000 and over",White only,43,Female,Employed - at work,Full time,350,115,0,540,185
Illinois,"$10,000 to $12,499",White-Asian,31,Male,Employed - at work,Full time,480,0,165,555,150
Michigan,"$60,000 to $74,999",White only,32,Female,Employed - at work,Part time,0,60,180,720,285
Minnesota,"$100,000 to $149,999",White only,37,Female,Employed - at work,Full time,0,0,242,570,120
North Carolina,"$40,000 to $49,999",White only,38,Female,Employed - at work,Full time,520,40,25,470,160
Wisconsin,"$100,000 to $149,999",White only,16,Female,Employed - at work,Part time,0,70,0,580,0
Michigan,"$50,000 to $59,999",White only,17,Male,Employed - at work,Part time,0,185,120,628,388
California,"$30,000 to $34,999",Asian only,48,Male,Employed - at work,Full time,470,75,10,510,150
Michigan,"$30,000 to $34,999",Black only,26,Male,Employed - at work,Full time,80,64,52,630,240
Virginia,"$40,000 to $49,999",White only,25,Female,Employed - at work,Full time,450,137,30,420,298
Ohio,"$50,000 to $59,999",White only,36,Male,Employed - at work,Full time,250,135,5,515,284
Louisiana,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,470,86,25,470,100
Florida,"$40,000 to $49,999",White only,26,Male,Employed - at work,Full time,0,18,0,669,711
