state,fam_income,race,age,sex,emp,fullpart,work,social,sports,pcare,educ,leisure
Illinois,"$10,000 to $12,499",White-Asian,31,Male,Employed - at work,Full time,480,150,0,555,0,150
Michigan,"$60,000 to $74,999",White only,32,Female,Employed - at work,Part time,0,285,0,720,0,285
Michigan,"$30,000 to $34,999",Black only,26,Male,Employed - at work,Full time,80,240,0,630,0,240
Virginia,"$40,000 to $49,999",White only,25,Female,Employed - at work,Full time,450,298,0,420,0,298
Louisiana,"$100,000 to $149,999",White only,49,Female,Employed - at work,Full time,470,100,0,470,0,100
Florida,"$40,000 to $49,999",White only,26,Male,Employed - at work,Full time,0,711,0,669,0,711
Virginia,"$60,000 to $74,999",Black only,41,Male,Employed - at work,Full time,0,585,0,545,0,585
New York,"$150,000 and over",White only,47,Female,Employed - at work,Full time,90,437,0,580,0,437
Texas,"$50,000 to $59,999",White only,19,Female,Employed - at work,Part time,225,0,0,750,0,0
Wisconsin,"$5,000 to $7,499",White only,22,Male,Employed - at work,Part time,380,120,60,855,0,180
Texas,"$40,000 to $49,999",White only,35,Male,Employed - at work,Full time,800,60,0,460,0,60
North Carolina,"Less than $5,000",Black only,23,Male,Employed - at work,Part time,345,945,0,90,0,945
Pennsylvania,"$100,000 to $149,999",White only,45,Male,Employed - at work,Full time,553,215,0,515,0,215
Illinois,"$75,000 to $99,999",Asian only,32,Male,Employed - at work,Full time,420,238,0,658,0,238
Georgia,"$60,000 to $74,999",White only,27,Male,Employed - at work,Full time,0,525,0,750,0,525
Kentucky,"$50,000 to $59,999",Black only,35,Male,Employed - at work,Full time,0,400,0,510,0,400
Massachusetts,"$75,000 to $99,999",White only,32,Female,Employed - at work,Full time,20,335,0,705,0,335
Alabama,"$50,000 to $59,999",White only,24,Male,Employed - at work,Part time,315,445,0,570,0,445
New York,"$50,000 to $59,999",White only,32,Female,Employed - at work,Full time,0,428,0,510,0,428
Nevada,"$25,000 to $29,999",White only,23,Male,Employed - at work,Full time,0,575,90,600,0,665
Nevada,"$40,000 to $49,999",White only,21,Female,Employed - at work,Full time,515,180,0,530,0,180
Montana,"$20,000 to $24,999",White only,36,Male,Employed - at work,Part time,0,320,0,720,0,320
Vermont,"$50,000 to $59,999",White only,41,Female,Employed - at work,Full time,683,140,0,550,0,140
Ohio,"$100,000 to $149,999",White only,48,Female,Employed - at work,Part time,595,60,0,540,0,60
Iowa,"$75,000 to $99,999",White only,31,Male,Employed - at work,Full time,0,465,0,583,0,465
Florida,"$60,000 to $74,999",White only,46,Female,Employed - at work,Full time,0,325,0,645,0,325
California,"$50,000 to $59,999",White only,36,Female,Employed - at work,Full time,0,300,180,720,0,480
Illinois,"$25,000 to $29,999",White only,19,Female,Employed - at work,Full time,430,450,0,420,0,450
Texas,"$40,000 to $49,999",White only,28,Male,Employed - at work,Full time,0,180,0,715,0,180
California,"$75,000 to $99,999",White only,39,Female,Employed - at work,Full time,0,345,0,540,0,345
Maryland,"$40,000 to $49,999",White only,29,Female,Employed - at work,Full time,480,170,0,540,0,170
Georgia,"$40,000 to $49,999",White only,21,Male,Employed - at work,Part time,480,0,0,760,0,0
Tennessee,"$100,000 to $149,999",White only,24,Male,Employed - absent,Full time,235,550,0,530,0,550
Texas,"$50,000 to $59,999",White only,40,Male,Employed - at work,Full time,0,120,0,590,0,120
New Jersey,"$35,000 to $39,999",Black only,32,Female,Employed - at work,Full time,0,550,0,690,0,550
Ohio,"$35,000 to $39,999",White only,28,Female,Employed - at work,Full time,0,635,0,725,0,635
Washington,"$150,000 and over",White only,45,Female,Employed - at work,Full time,120,460,0,600,0,460
Wisconsin,"$10,000 to $12,499",Black only,47,Male,Employed - at work,Full time,440,700,0,235,0,700
New Jersey,"$12,500 to $14,999",White only,47,Male,Employed - at work,Full time,449,232,0,570,0,232
Florida,"$25,000 to $29,999",Black only,45,Female,Employed - at work,Full time,0,345,0,570,0,345
New York,"$60,000 to $74,999",White only,28,Female,Employed - at work,Full time,15,710,105,525,0,815
Hawaii,"$150,000 and over",White only,40,Male,Employed - at work,Full time,0,733,0,510,0,733
District of Columbia,"$75,000 to $99,999",White only,38,Female,Employed - at work,Full time,0,420,0,770,0,420
Texas,"$40,000 to $49,999",White only,47,Female,Employed - at work,Full time,10,630,0,615,0,630
Massachusetts,"$25,000 to $29,999",White only,48,Male,Employed - at work,Full time,0,300,0,650,0,300
California,"$20,000 to $24,999",Asian only,42,Female,Employed - absent,Full time,0,180,0,875,0,180
Pennsylvania,"$35,000 to $39,999",White only,49,Female,Employed - at work,Full time,625,0,45,500,0,45
New York,"$100,000 to $149,999",White only,25,Female,Employed - at work,Full time,440,95,0,725,0,95
South Carolina,"$15,000 to $19,999",White only,40,Female,Employed - at work,Full time,0,330,0,600,0,330
Pennsylvania,"$40,000 to $49,999",Black only,42,Female,Employed - at work,Full time,0,625,0,780,0,625
Oregon,"$25,000 to $29,999",White only,28,Male,Employed - at work,Full time,488,75,0,500,0,75
Texas,"$10,000 to $12,499",White only,23,Female,Employed - at work,Full time,0,429,10,480,0,439
Virginia,"$50,000 to $59,999",Black only,23,Female,Employed - at work,Part time,338,95,0,843,0,95
Virginia,"$12,500 to $14,999",White only,20,Male,Employed - at work,Full time,0,540,0,720,0,540
California,"$150,000 and over",Asian only,37,Female,Employed - at work,Full time,460,210,60,490,0,270
Delaware,"$30,000 to $34,999",White only,47,Male,Employed - at work,Full time,0,565,0,600,0,565
Alabama,"$30,000 to $34,999",White only,24,Male,Employed - at work,Full time,0,270,0,540,0,270
California,"$60,000 to $74,999",White only,29,Female,Employed - at work,Full time,0,635,0,690,0,635
Illinois,"$30,000 to $34,999",White only,27,Male,Employed - at work,Full time,402,537,0,377,0,537
New York,"$75,000 to $99,999",Asian only,30,Female,Employed - at work,Full time,622,0,0,511,0,0
Texas,"$30,000 to $34,999",White only,35,Female,Employed - at work,Full time,450,120,0,710,0,120
California,"$15,000 to $19,999",White only,20,Male,Employed - at work,Part time,0,418,0,750,0,418
Colorado,"$150,000 and over",White only,45,Male,Employed - at work,Full time,0,407,0,660,0,407
Pennsylvania,"$60,000 to $74,999",White only,30,Female,Employed - at work,Full time,473,60,60,685,0,120
Mississippi,"$25,000 to $29,999",Black only,42,Male,Employed - at work,Full time,670,60,0,510,0,60
Tennessee,"$40,000 to $49,999",Black only,45,Female,Employed - at work,Full time,480,235,0,460,0,235
Illinois,"$75,000 to $99,999",White only,30,Female,Employed - at work,Full time,5,435,0,540,0,435
New York,"$50,000 to $59,999",Black only,32,Male,Employed - at work,Full time,400,195,0,540,0,195
Texas,"$100,000 to $149,999",White only,26,Female,Employed - at work,Full time,220,85,0,685,0,85
Washington,"$60,000 to $74,999",White only,37,Female,Employed - at work,Full time,468,120,60,564,0,180
New York,"$100,000 to $149,999",White only,34,Male,Employed - at work,Full time,480,252,80,500,0,332
Wisconsin,"$50,000 to $59,999",White only,47,Female,Employed - at work,Part time,450,225,0,495,0,225
Missouri,"$25,000 to $29,999",White only,24,Male,Employed - at work,Full time,715,238,0,450,0,238
Pennsylvania,"$30,000 to $34,999",White only,42,Female,Employed - at work,Full time,570,389,0,389,0,389
Florida,"$75,000 to $99,999",White only,44,Female,Employed - at work,Full time,0,363,37,525,60,400
Illinois,"$40,000 to $49,999",White only,35,Female,Employed - at work,Full time,0,460,0,720,0,460
California,"$50,000 to $59,999",White only,40,Male,Employed - at work,Full time,0,630,0,540,0,630
Minnesota,"$50,000 to $59,999",White only,49,Female,Employed - at work,Full time,480,240,0,510,0,240
Virginia,"$50,000 to $59,999",Black only,46,Female,Employed - at work,Full time,430,563,0,280,0,563
Oregon,"$20,000 to $24,999",White only,45,Male,Employed - at work,Part time,585,90,0,525,0,90
Missouri,"$40,000 to $49,999",White only,49,Male,Employed - at work,Full time,0,60,645,655,0,705
Arizona,"$40,000 to $49,999",White only,39,Female,Employed - at work,Full time,503,310,60,335,0,370
West Virginia,"$100,000 to $149,999",White only,48,Female,Employed - at work,Full time,0,315,150,660,0,465
Texas,"$15,000 to $19,999",White only,23,Male,Employed - at work,Part time,430,200,0,770,0,200
Michigan,"$12,500 to $14,999","American Indian, Alaskan Native",37,Male,Employed - at work,Full time,650,200,0,570,0,200
Florida,"$100,000 to $149,999",Black only,37,Female,Employed - at work,Full time,240,295,0,780,0,295
Oklahoma,"$60,000 to $74,999",White only,46,Male,Employed - at work,Full time,0,587,0,630,0,587
Florida,"$25,000 to $29,999",White only,28,Male,Employed - at work,Full time,364,269,0,625,0,269
Kansas,"$60,000 to $74,999",White only,30,Male,Employed - at work,Full time,517,215,0,575,0,215
Utah,"$35,000 to $39,999",White only,21,Female,Employed - at work,Part time,365,227,0,460,0,227
Ohio,"Less than $5,000",White only,42,Female,Employed - absent,Full time,105,45,0,740,0,45
California,"$40,000 to $49,999",Black only,28,Female,Employed - at work,Full time,483,112,60,570,0,172
Louisiana,"$20,000 to $24,999",White only,38,Male,Employed - at work,Full time,615,159,0,460,0,159
Texas,"$35,000 to $39,999",White only,43,Male,Employed - at work,Full time,465,315,0,540,0,315
Arkansas,"$100,000 to $149,999",White only,42,Male,Employed - at work,Full time,760,0,0,485,0,0
Oregon,"$35,000 to $39,999",White only,22,Female,Employed - at work,Full time,60,194,0,765,0,194
Texas,"$60,000 to $74,999",White only,27,Male,Employed - at work,Full time,510,165,90,540,0,255
New York,"$75,000 to $99,999",White only,41,Female,Employed - at work,Full time,485,60,0,510,0,60
New York,"$35,000 to $39,999",White only,49,Male,Employed - at work,Full time,600,180,0,565,0,180
New Jersey,"$30,000 to $34,999",White only,43,Male,Employed - at work,Full time,690,0,0,525,0,0
Alabama,"$75,000 to $99,999",White only,48,Female,Employed - at work,Full time,485,395,0,510,0,395
New Mexico,"$20,000 to $24,999",White only,30,Female,Employed - at work,Part time,540,150,0,465,0,150
Arizona,"$40,000 to $49,999",White only,30,Female,Employed - at work,Full time,480,210,0,560,0,210
Minnesota,"$75,000 to $99,999",White only,43,Female,Employed - at work,Full time,0,650,0,729,0,650
Arizona,"$15,000 to $19,999",White only,25,Female,Employed - at work,Full time,510,30,170,485,0,200
California,"$100,000 to $149,999",White only,39,Female,Employed - at work,Full time,460,135,30,591,0,165
Pennsylvania,"$60,000 to $74,999",White only,32,Male,Employed - at work,Full time,780,60,0,510,0,60
Indiana,"$75,000 to $99,999",Black only,29,Male,Employed - at work,Full time,750,85,0,290,0,85
Texas,"$20,000 to $24,999",White only,25,Male,Employed - at work,Full time,0,60,0,1316,0,60
California,"$35,000 to $39,999",White only,38,Male,Employed - at work,Full time,0,210,0,625,0,210
Texas,"$75,000 to $99,999",Black-Asian,18,Female,Employed - at work,Part time,450,120,0,760,60,120
Massachusetts,"$40,000 to $49,999",White only,32,Female,Employed - at work,Part time,0,490,0,675,0,490
West Virginia,"$7,500 to $9,999",White only,44,Male,Employed - absent,Part time,120,90,0,345,0,90
Florida,"$50,000 to $59,999",White only,47,Female,Employed - at work,Full time,485,135,0,590,0,135
Missouri,"$40,000 to $49,999",White only,39,Male,Employed - at work,Full time,1245,0,0,110,0,0
Florida,"$60,000 to $74,999",White only,43,Male,Employed - at work,Part time,315,90,0,690,0,90
Washington,"$15,000 to $19,999",White only,42,Female,Employed - at work,Full time,263,255,0,600,0,255
New Jersey,"$100,000 to $149,999",Asian only,38,Female,Employed - at work,Full time,563,50,0,720,0,50
Pennsylvania,"$60,000 to $74,999",White only,22,Male,Employed - at work,Full time,0,370,0,630,0,370
Florida,"$40,000 to $49,999",White only,25,Female,Employed - at work,Full time,0,440,0,750,0,440
Massachusetts,"$50,000 to $59,999",White only,32,Female,Employed - at work,Full time,788,0,0,541,0,0
Virginia,"$12,500 to $14,999",Black only,45,Male,Employed - at work,Full time,775,0,0,655,0,0
North Carolina,"$75,000 to $99,999",White only,46,Female,Employed - at work,Part time,0,245,0,865,0,245
Pennsylvania,"$50,000 to $59,999",Black only,40,Male,Employed - at work,Full time,474,450,45,300,0,495
Illinois,"$35,000 to $39,999",White only,43,Male,Employed - at work,Full time,0,315,0,635,0,315
District of Columbia,"$150,000 and over",Asian only,29,Female,Employed - at work,Full time,5,480,220,440,0,700
Mississippi,"$20,000 to $24,999",Black only,46,Female,Employed - at work,Full time,240,110,0,850,0,110
Hawaii,"$100,000 to $149,999",Asian only,44,Male,Employed - at work,Full time,30,270,120,510,0,390
Indiana,"$60,000 to $74,999",White only,46,Female,Employed - at work,Part time,90,120,60,700,0,180
Maine,"$75,000 to $99,999",White only,49,Female,Employed - at work,Full time,0,135,0,645,0,135
Wisconsin,"$100,000 to $149,999",White only,29,Male,Employed - at work,Full time,550,60,105,569,0,165
Florida,"$60,000 to $74,999",White only,44,Male,Employed - at work,Full time,60,90,60,740,0,150
North Carolina,"$100,000 to $149,999",White only,44,Male,Employed - at work,Full time,720,120,0,480,0,120
Pennsylvania,"$20,000 to $24,999",Black only,35,Male,Employed - at work,Full time,0,495,0,510,0,495
New York,"$50,000 to $59,999",White only,32,Male,Employed - at work,Full time,670,290,0,390,0,290
New York,"$40,000 to $49,999",Asian only,21,Female,Employed - at work,Part time,0,90,0,885,0,90
Iowa,"$150,000 and over",White only,48,Female,Employed - at work,Full time,357,283,0,555,0,283
Massachusetts,"$40,000 to $49,999",White-Black,35,Female,Employed - at work,Full time,735,60,0,550,0,60
Arizona,"$15,000 to $19,999","American Indian, Alaskan Native",42,Female,Employed - at work,Full time,0,120,0,700,0,120
Washington,"$100,000 to $149,999",White-American Indian,47,Male,Employed - at work,Full time,750,270,0,90,0,270
Massachusetts,"$150,000 and over",White only,30,Male,Employed - at work,Full time,1100,0,0,210,0,0
Wisconsin,"$75,000 to $99,999",White only,21,Male,Employed - at work,Part time,0,572,0,765,0,572
Texas,"$10,000 to $12,499",Black only,49,Female,Employed - at work,Full time,0,1095,0,270,0,1095
Illinois,"$40,000 to $49,999",White only,42,Female,Employed - at work,Full time,575,178,0,480,0,178
South Carolina,"$35,000 to $39,999",Black only,27,Female,Employed - at work,Full time,310,0,60,910,0,60
Missouri,"$50,000 to $59,999",White only,42,Female,Employed - at work,Full time,450,185,0,585,0,185
Florida,"$50,000 to $59,999",White only,26,Female,Employed - at work,Full time,0,270,90,886,0,360
South Carolina,"$75,000 to $99,999",White only,38,Female,Employed - at work,Full time,245,440,0,465,0,440
Kansas,"$60,000 to $74,999",White only,41,Male,Employed - at work,Full time,810,90,0,480,0,90
Texas,"$60,000 to $74,999",White only,39,Male,Employed - at work,Full time,535,195,60,480,0,255
Colorado,"$100,000 to $149,999",Black only,49,Female,Employed - at work,Full time,525,225,0,600,0,225
Tennessee,"$35,000 to $39,999",White only,44,Female,Employed - at work,Full time,0,465,0,710,0,465
Illinois,"$20,000 to $24,999",White only,42,Female,Employed - at work,Part time,0,165,0,564,0,165
Michigan,"$75,000 to $99,999",White only,41,Male,Employed - absent,Full time,0,540,0,660,0,540
Wisconsin,"$75,000 to $99,999",White only,46,Male,Employed - at work,Full time,0,608,120,378,0,728
Ohio,"$50,000 to $59,999",White only,25,Male,Employed - at work,Full time,0,465,90,700,0,555
Illinois,"$5,000 to $7,499",White only,27,Female,Employed - at work,Full time,0,255,0,615,0,255
Florida,"$20,000 to $24,999",White only,40,Female,Employed - at work,Full time,640,0,0,445,0,0
Illinois,"$100,000 to $149,999",White only,45,Female,Employed - at work,Full time,540,210,0,510,0,210
Indiana,"$75,000 to $99,999",White only,28,Male,Employed - at work,Full time,510,150,0,570,0,150
Virginia,"$12,500 to $14,999",White only,35,Female,Employed - at work,Full time,635,150,45,560,0,195
California,"$60,000 to $74,999",White only,36,Male,Employed - at work,Full time,0,705,0,720,0,705
Oregon,"$50,000 to $59,999",White-Asian,26,Male,Employed - at work,Full time,460,200,0,670,0,200
Mississippi,"$20,000 to $24,999",White only,20,Female,Employed - at work,Full time,0,290,0,845,0,290
New Jersey,"$60,000 to $74,999",White only,29,Male,Employed - at work,Full time,501,376,0,405,0,376
North Carolina,"$15,000 to $19,999",White only,29,Female,Employed - at work,Full time,0,240,0,785,0,240
New York,"$25,000 to $29,999",Black only,35,Male,Employed - at work,Full time,0,469,0,510,0,469
New York,"$30,000 to $34,999",White only,27,Female,Employed - at work,Full time,435,30,45,655,0,75
Idaho,"$30,000 to $34,999",White only,37,Male,Employed - at work,Full time,530,325,0,460,0,325
Arizona,"$50,000 to $59,999",Black only,49,Female,Employed - at work,Full time,480,360,0,170,0,360
Missouri,"$10,000 to $12,499",White only,48,Female,Employed - at work,Full time,0,265,0,730,0,265
Florida,"$12,500 to $14,999",White only,44,Male,Employed - at work,Part time,655,0,0,465,0,0
Washington,"$40,000 to $49,999",White only,42,Male,Employed - at work,Full time,0,0,320,585,0,320
Oklahoma,"$75,000 to $99,999",White-American Indian,30,Male,Employed - at work,Full time,470,105,205,350,0,310
New Jersey,"$12,500 to $14,999",Black only,26,Male,Employed - at work,Full time,224,500,0,400,0,500
Oklahoma,"$15,000 to $19,999",White only,28,Female,Employed - at work,Full time,585,45,0,680,0,45
New York,"$50,000 to $59,999",White only,47,Male,Employed - at work,Full time,0,0,0,600,0,0
Minnesota,"$40,000 to $49,999",White only,37,Male,Employed - at work,Full time,0,835,0,600,0,835
Missouri,"$40,000 to $49,999",White only,35,Male,Employed - at work,Full time,0,690,0,510,0,690
District of Columbia,"$25,000 to $29,999",Black only,29,Male,Employed - at work,Full time,500,335,60,420,0,395
Washington,"$75,000 to $99,999",White only,43,Male,Employed - at work,Full time,0,555,0,620,0,555
New York,"$60,000 to $74,999",White only,35,Female,Employed - at work,Full time,0,348,60,720,0,408
Texas,"$40,000 to $49,999",White only,39,Female,Employed - at work,Full time,435,165,0,610,0,165
West Virginia,"$150,000 and over",White only,26,Female,Employed - at work,Full time,435,0,80,615,0,80
Michigan,"$15,000 to $19,999",White only,45,Female,Employed - at work,Part time,0,525,0,750,0,525
Washington,"$150,000 and over",White only,43,Male,Employed - at work,Full time,535,145,0,545,0,145
Ohio,"$75,000 to $99,999",White only,48,Female,Employed - at work,Full time,0,285,0,600,0,285
Tennessee,"$50,000 to $59,999",White only,36,Female,Employed - at work,Full time,0,442,53,540,0,495
Florida,"$40,000 to $49,999",White only,43,Female,Employed - at work,Full time,0,310,120,825,0,430
Texas,"$60,000 to $74,999",White-Black,35,Male,Employed - at work,Part time,275,375,215,413,0,590
Pennsylvania,"$75,000 to $99,999",White only,34,Male,Employed - at work,Full time,595,0,45,560,0,45
South Carolina,"$40,000 to $49,999",White-Black-American Indian,23,Female,Employed - at work,Full time,0,615,0,510,0,615
Illinois,"$150,000 and over",White only,49,Female,Employed - at work,Full time,0,358,0,660,0,358
Connecticut,"$150,000 and over",White only,48,Female,Employed - at work,Full time,540,180,0,570,0,180
New Jersey,"$75,000 to $99,999",White only,29,Female,Employed - at work,Full time,0,455,0,810,0,455
Wisconsin,"$60,000 to $74,999",White only,48,Female,Employed - at work,Full time,450,176,0,610,0,176
Colorado,"$10,000 to $12,499",White only,23,Female,Employed - at work,Full time,0,570,120,630,0,690
Virginia,"$75,000 to $99,999",White only,30,Female,Employed - at work,Full time,700,65,0,530,0,65
Florida,"$20,000 to $24,999",Black only,34,Male,Employed - at work,Full time,0,255,0,774,0,255
Oregon,"$35,000 to $39,999",White only,41,Male,Employed - at work,Full time,460,240,0,720,0,240
Georgia,"$35,000 to $39,999",Black only,34,Female,Employed - at work,Full time,10,120,0,660,0,120
Ohio,"$20,000 to $24,999",White only,47,Female,Employed - at work,Part time,609,0,5,705,0,5
New Jersey,"$100,000 to $149,999",White only,29,Female,Employed - at work,Full time,0,320,0,770,0,320
California,"$40,000 to $49,999",Asian only,31,Male,Employed - at work,Full time,630,105,0,450,0,105
Texas,"$30,000 to $34,999",Black only,34,Female,Employed - at work,Full time,590,120,0,640,0,120
New Mexico,"$75,000 to $99,999",White only,25,Male,Employed - at work,Full time,180,170,0,776,0,170
North Carolina,"$75,000 to $99,999",Black only,42,Female,Employed - at work,Full time,20,295,0,695,0,295
Florida,"$40,000 to $49,999",Asian only,44,Female,Employed - at work,Full time,400,180,0,520,0,180
Kansas,"$50,000 to $59,999",White only,22,Male,Employed - at work,Full time,0,643,0,525,0,643
South Carolina,"$20,000 to $24,999",White only,43,Male,Employed - at work,Part time,475,306,0,533,0,306
New York,"$20,000 to $24,999",Black only,30,Female,Employed - at work,Part time,112,150,0,542,0,150
Louisiana,"$40,000 to $49,999",White only,38,Male,Employed - at work,Full time,461,247,0,570,0,247
New York,"$50,000 to $59,999",Asian only,40,Male,Employed - at work,Full time,0,270,0,600,0,270
Texas,"$15,000 to $19,999",White only,48,Female,Employed - at work,Full time,604,222,0,415,0,222
Arkansas,"$100,000 to $149,999",White only,46,Female,Employed - at work,Full time,0,405,0,625,0,405
Illinois,"$25,000 to $29,999",Asian only,40,Female,Employed - at work,Full time,1240,0,0,60,0,0
Texas,"$40,000 to $49,999",Black only,24,Female,Employed - at work,Full time,465,60,0,675,0,60
Wisconsin,"$50,000 to $59,999",White only,48,Male,Employed - at work,Full time,355,135,0,520,0,135
Georgia,"$30,000 to $34,999",White only,49,Male,Employed - at work,Full time,465,288,0,445,0,288
