caseid,statefip,famincome,age,sex,empstat,fullpart,act_work,act_social,act_leisure,act_sports,act_pcare,act_educ
2.01E+13,New Jersey,"$30,000 to $34,999",52,Female,Employed - at work,Part time,410,345,345,0,460,0
2.01E+13,Pennsylvania,"$35,000 to $39,999",60,Female,Employed - at work,Full time,60,80,80,0,560,0
2.01E+13,Texas,"$40,000 to $49,999",60,Female,Employed - at work,Full time,60,240,240,0,540,0
2.01E+13,Florida,"$40,000 to $49,999",51,Female,Employed - at work,Full time,705,110,110,0,545,0
2.01E+13,Pennsylvania,"$100,000 to $149,999",55,Female,Employed - at work,Part time,390,120,120,0,620,0
2.01E+13,Texas,"$60,000 to $74,999",52,Female,Employed - at work,Full time,0,415,415,0,590,0
2.01E+13,Louisiana,"$75,000 to $99,999",58,Male,Employed - at work,Full time,830,30,30,0,450,0
2.01E+13,Ohio,"$50,000 to $59,999",59,Female,Employed - at work,Full time,480,280,280,0,600,0
2.01E+13,California,"$100,000 to $149,999",85,Male,Employed - at work,Full time,570,180,180,0,450,0
2.01E+13,Oregon,"$100,000 to $149,999",71,Female,Employed - at work,Part time,0,375,375,0,450,0
2.01E+13,Washington,"$60,000 to $74,999",56,Female,Employed - absent,Full time,788,135,135,0,487,0
2.01E+13,Georgia,"$150,000 and over",52,Male,Employed - at work,Full time,900,120,120,0,330,0
2.01E+13,Indiana,"$5,000 to $7,499",69,Female,Employed - at work,Part time,0,480,480,0,480,0
2.01E+13,North Carolina,"$20,000 to $24,999",76,Male,Employed - absent,Part time,120,330,330,0,445,0
2.01E+13,Vermont,"Less than $5,000",24,Female,Employed - at work,Full time,460,60,60,0,615,45
2.01E+13,Arizona,"$75,000 to $99,999",28,Female,Employed - at work,Full time,900,95,95,0,375,0
2.01E+13,California,"$75,000 to $99,999",37,Female,Employed - at work,Full time,520,0,0,0,440,150
2.01E+13,Washington,"$75,000 to $99,999",63,Male,Employed - at work,Full time,180,527,527,0,578,0
2.01E+13,Wisconsin,"$30,000 to $34,999",55,Female,Employed - at work,Full time,485,105,130,25,465,0
2.01E+13,Pennsylvania,"$10,000 to $12,499",71,Female,Employed - at work,Part time,0,340,340,0,900,0
2.01E+13,Alabama,"$25,000 to $29,999",56,Male,Employed - at work,Part time,120,205,205,0,600,0
2.01E+13,District of Columbia,"$40,000 to $49,999",51,Male,Employed - at work,Full time,495,295,295,0,575,0
2.01E+13,Maryland,"$60,000 to $74,999",50,Male,Employed - at work,Full time,495,120,120,0,610,0
2.01E+13,New York,"$75,000 to $99,999",59,Female,Employed - at work,Full time,762,105,105,0,465,0
2.01E+13,Massachusetts,"$50,000 to $59,999",55,Male,Employed - at work,Full time,485,110,110,0,630,0
2.01E+13,New York,"$25,000 to $29,999",70,Female,Employed - at work,Part time,253,304,304,0,575,0
2.01E+13,Oregon,"$75,000 to $99,999",69,Male,Employed - at work,Part time,0,360,360,0,750,0
2.01E+13,Florida,"$75,000 to $99,999",50,Female,Employed - at work,Full time,462,255,255,0,540,0
2.01E+13,Texas,"$100,000 to $149,999",67,Female,Employed - at work,Full time,0,595,595,0,630,0
2.01E+13,California,"$100,000 to $149,999",52,Male,Employed - at work,Full time,30,380,380,0,600,0
2.01E+13,California,"$100,000 to $149,999",62,Female,Employed - at work,Full time,0,290,290,0,662,0
2.01E+13,Minnesota,"$50,000 to $59,999",55,Male,Employed - at work,Part time,0,325,325,0,560,0
2.01E+13,Pennsylvania,"$60,000 to $74,999",55,Female,Employed - at work,Full time,768,150,150,0,475,0
2.01E+13,California,"$100,000 to $149,999",55,Male,Employed - at work,Full time,463,260,318,58,470,0
2.01E+13,Florida,"$150,000 and over",57,Female,Employed - absent,Part time,0,180,315,135,560,0
2.01E+13,Colorado,"$12,500 to $14,999",62,Female,Employed - at work,Part time,315,220,220,0,705,0
2.01E+13,Iowa,"$75,000 to $99,999",52,Male,Employed - at work,Full time,619,90,90,0,470,0
2.01E+13,Texas,"$75,000 to $99,999",61,Male,Employed - at work,Full time,375,165,165,0,465,0
2.01E+13,Louisiana,"$20,000 to $24,999",59,Female,Employed - at work,Part time,451,278,278,0,631,0
2.01E+13,Wisconsin,"$50,000 to $59,999",57,Male,Employed - at work,Full time,0,615,615,0,540,0
2.01E+13,West Virginia,"$20,000 to $24,999",54,Female,Employed - at work,Part time,0,445,445,0,540,0
2.01E+13,Florida,"$75,000 to $99,999",30,Male,Employed - absent,Full time,15,305,365,60,455,270
2.01E+13,Texas,"$35,000 to $39,999",60,Female,Employed - at work,Full time,542,30,30,0,502,0
2.01E+13,Iowa,"$40,000 to $49,999",22,Female,Employed - at work,Part time,55,260,260,0,705,390
2.01E+13,South Carolina,"$150,000 and over",68,Male,Employed - at work,Part time,363,290,290,0,465,0
2.01E+13,New York,"$75,000 to $99,999",62,Female,Employed - at work,Full time,470,105,105,0,560,0
2.01E+13,Ohio,"$100,000 to $149,999",52,Male,Employed - at work,Part time,0,573,573,0,573,0
2.01E+13,Mississippi,"$20,000 to $24,999",54,Male,Employed - at work,Full time,460,311,311,0,599,0
2.01E+13,Alabama,"$20,000 to $24,999",51,Male,Employed - at work,Full time,0,670,670,0,420,0
2.01E+13,Arkansas,"$30,000 to $34,999",59,Male,Employed - at work,Full time,475,60,60,0,615,0
2.01E+13,Maryland,"$100,000 to $149,999",56,Female,Employed - at work,Full time,460,145,145,0,570,0
2.01E+13,Pennsylvania,"$30,000 to $34,999",59,Female,Employed - at work,Full time,0,120,120,0,680,0
2.01E+13,South Carolina,"$12,500 to $14,999",63,Male,Employed - absent,Full time,0,1140,1140,0,120,0
2.01E+13,Kentucky,"$100,000 to $149,999",50,Female,Employed - at work,Full time,475,115,115,0,450,0
2.01E+13,Minnesota,"$150,000 and over",57,Female,Employed - at work,Part time,390,205,205,0,500,0
2.01E+13,Texas,"$30,000 to $34,999",55,Female,Employed - at work,Full time,510,220,220,0,525,0
2.01E+13,Indiana,"$100,000 to $149,999",52,Male,Employed - at work,Full time,484,210,210,0,583,0
2.01E+13,North Carolina,"$35,000 to $39,999",54,Female,Employed - at work,Full time,699,20,20,0,359,0
2.01E+13,Texas,"$60,000 to $74,999",60,Male,Employed - at work,Full time,0,60,210,150,580,0
2.01E+13,Colorado,"$100,000 to $149,999",50,Female,Employed - at work,Full time,415,0,65,65,775,0
2.01E+13,California,"$50,000 to $59,999",56,Female,Employed - at work,Full time,480,140,140,0,600,0
2.01E+13,Texas,"$5,000 to $7,499",59,Female,Employed - at work,Part time,0,300,300,0,558,0
2.01E+13,North Carolina,"$150,000 and over",55,Female,Employed - at work,Full time,0,315,375,60,860,0
2.01E+13,Pennsylvania,"$30,000 to $34,999",67,Female,Employed - at work,Part time,0,240,240,0,630,0
2.01E+13,New York,"$40,000 to $49,999",60,Male,Employed - at work,Full time,570,85,160,75,540,0
2.01E+13,California,"$50,000 to $59,999",62,Male,Employed - at work,Full time,480,201,201,0,380,0
2.01E+13,Missouri,"$20,000 to $24,999",55,Female,Employed - at work,Full time,495,35,35,0,615,0
2.01E+13,Texas,"$150,000 and over",60,Male,Employed - at work,Full time,678,45,45,0,440,0
2.01E+13,Arizona,"$10,000 to $12,499",55,Male,Employed - at work,Full time,240,240,240,0,930,0
2.01E+13,Florida,"$50,000 to $59,999",67,Male,Employed - at work,Part time,147,624,624,0,420,0
2.01E+13,Pennsylvania,"$50,000 to $59,999",55,Female,Employed - at work,Full time,0,590,590,0,540,0
2.01E+13,Georgia,"$60,000 to $74,999",55,Male,Employed - at work,Full time,652,185,185,0,415,0
2.01E+13,Florida,"$100,000 to $149,999",20,Female,Employed - at work,Part time,375,105,105,0,720,0
2.01E+13,Kansas,"$50,000 to $59,999",60,Female,Employed - absent,Full time,0,325,325,0,870,0
2.01E+13,Alabama,"$100,000 to $149,999",57,Female,Employed - at work,Full time,0,425,425,0,622,0
2.01E+13,New Jersey,"$10,000 to $12,499",56,Male,Employed - at work,Part time,350,430,430,0,600,0
2.01E+13,Illinois,"$40,000 to $49,999",56,Female,Employed - at work,Full time,480,75,75,0,495,0
2.01E+13,California,"$5,000 to $7,499",64,Female,Employed - at work,Part time,0,195,195,0,700,0
2.01E+13,Oklahoma,"$150,000 and over",66,Male,Employed - at work,Full time,0,185,275,90,540,0
2.01E+13,New Jersey,"$75,000 to $99,999",57,Female,Employed - at work,Full time,568,40,100,60,565,0
2.01E+13,Missouri,"$50,000 to $59,999",76,Female,Employed - at work,Part time,0,680,680,0,480,0
2.01E+13,New York,"$150,000 and over",75,Female,Employed - at work,Part time,0,60,60,0,420,0
2.01E+13,Pennsylvania,"$35,000 to $39,999",62,Female,Employed - at work,Full time,0,568,568,0,570,0
2.01E+13,Nebraska,"$30,000 to $34,999",71,Male,Employed - at work,Part time,195,208,208,0,615,0
2.01E+13,Missouri,"$100,000 to $149,999",57,Female,Employed - at work,Full time,510,45,45,0,570,0
2.01E+13,Colorado,"$40,000 to $49,999",60,Female,Employed - at work,Full time,0,30,350,320,455,0
2.01E+13,Ohio,"$35,000 to $39,999",58,Male,Employed - at work,Part time,0,840,840,0,550,0
2.01E+13,Ohio,"$75,000 to $99,999",53,Male,Employed - at work,Full time,0,598,598,0,480,0
2.01E+13,Texas,"$20,000 to $24,999",61,Female,Employed - at work,Full time,0,480,480,0,565,0
2.01E+13,Wisconsin,"$30,000 to $34,999",56,Male,Employed - at work,Part time,0,115,135,20,657,0
2.01E+13,Iowa,"$75,000 to $99,999",55,Male,Employed - at work,Full time,2,478,478,0,600,0
2.01E+13,South Carolina,"$100,000 to $149,999",63,Female,Employed - at work,Full time,585,90,90,0,500,0
2.01E+13,New York,"$50,000 to $59,999",65,Male,Employed - at work,Part time,0,135,135,0,640,0
2.01E+13,Washington,"$12,500 to $14,999",65,Female,Employed - at work,Part time,0,944,944,0,451,0
2.01E+13,California,"$75,000 to $99,999",53,Male,Employed - at work,Full time,580,130,130,0,600,0
2.01E+13,Alabama,"$150,000 and over",43,Female,Employed - at work,Full time,605,60,150,90,445,0
2.01E+13,California,"$75,000 to $99,999",25,Female,Employed - at work,Part time,0,379,379,0,510,15
2.01E+13,Arkansas,"$100,000 to $149,999",53,Male,Employed - at work,Full time,0,390,390,0,480,0
2.01E+13,Wisconsin,"$60,000 to $74,999",64,Male,Employed - at work,Full time,575,203,203,0,542,0
2.01E+13,Minnesota,"$100,000 to $149,999",53,Male,Employed - at work,Full time,0,280,280,0,600,0
2.01E+13,North Carolina,"$40,000 to $49,999",56,Female,Employed - at work,Full time,488,258,258,0,483,0
2.01E+13,Virginia,"$150,000 and over",67,Female,Employed - at work,Full time,0,500,500,0,680,0
2.01E+13,Louisiana,"$20,000 to $24,999",58,Female,Employed - at work,Part time,0,390,390,0,900,0
2.01E+13,Massachusetts,"$50,000 to $59,999",54,Male,Employed - at work,Full time,485,120,245,125,605,0
2.01E+13,California,"$5,000 to $7,499",20,Female,Employed - at work,Part time,490,130,160,30,685,0
2.01E+13,Colorado,"$100,000 to $149,999",56,Female,Employed - at work,Full time,560,150,150,0,650,0
2.01E+13,Texas,"$25,000 to $29,999",55,Male,Employed - at work,Full time,650,205,205,0,485,0
2.01E+13,Indiana,"$20,000 to $24,999",71,Male,Employed - at work,Full time,550,60,60,0,645,0
2.01E+13,Texas,"$25,000 to $29,999",74,Male,Employed - at work,Full time,550,275,275,0,470,0
2.01E+13,North Carolina,"$20,000 to $24,999",64,Female,Employed - at work,Full time,685,80,80,0,535,0
2.01E+13,Michigan,"$50,000 to $59,999",57,Female,Employed - at work,Full time,60,212,212,0,570,0
2.01E+13,Georgia,"$20,000 to $24,999",31,Male,Employed - at work,Full time,0,340,400,60,720,0
2.01E+13,Louisiana,"$50,000 to $59,999",56,Female,Employed - at work,Full time,0,644,644,0,579,0
2.01E+13,Florida,"$40,000 to $49,999",54,Female,Employed - absent,Full time,0,162,162,0,600,0
2.01E+13,California,"$60,000 to $74,999",55,Male,Employed - at work,Full time,524,190,190,0,525,0
2.01E+13,Rhode Island,"$40,000 to $49,999",56,Male,Employed - at work,Full time,0,585,585,0,760,0
2.01E+13,Arkansas,"$50,000 to $59,999",66,Male,Employed - at work,Full time,545,165,165,0,495,0
2.01E+13,New York,"$150,000 and over",62,Female,Employed - at work,Full time,0,330,330,0,625,0
2.01E+13,New York,"$30,000 to $34,999",70,Male,Employed - at work,Part time,0,455,515,60,420,0
2.01E+13,Mississippi,"$60,000 to $74,999",52,Female,Employed - at work,Full time,540,205,205,0,480,0
2.01E+13,Louisiana,"Less than $5,000",57,Female,Employed - at work,Full time,570,120,120,0,335,0
2.01E+13,Ohio,"$50,000 to $59,999",52,Female,Employed - at work,Part time,0,288,288,0,620,0
2.01E+13,California,"$25,000 to $29,999",52,Male,Employed - at work,Full time,448,255,255,0,544,0
2.01E+13,Florida,"$20,000 to $24,999",75,Female,Employed - at work,Part time,620,96,96,0,545,0
2.01E+13,New York,"$10,000 to $12,499",59,Female,Employed - at work,Part time,0,480,480,0,690,0
2.01E+13,Florida,"$35,000 to $39,999",52,Female,Employed - at work,Part time,305,450,450,0,427,0
2.01E+13,Ohio,"$60,000 to $74,999",53,Female,Employed - at work,Full time,470,0,30,30,630,0
2.01E+13,New York,"Less than $5,000",64,Female,Employed - at work,Part time,0,678,678,0,540,0
2.01E+13,Michigan,"$35,000 to $39,999",57,Male,Employed - at work,Full time,300,282,282,0,600,0
2.01E+13,Michigan,"$75,000 to $99,999",55,Female,Employed - at work,Full time,450,55,130,75,450,0
2.01E+13,Texas,"$60,000 to $74,999",62,Male,Employed - at work,Part time,60,690,690,0,450,0
2.01E+13,Kentucky,"$50,000 to $59,999",56,Female,Employed - at work,Full time,555,85,85,0,494,0
2.01E+13,Mississippi,"$30,000 to $34,999",68,Male,Employed - at work,Part time,120,210,210,0,502,0
2.01E+13,Virginia,"$60,000 to $74,999",60,Female,Employed - at work,Full time,545,250,250,0,430,0
2.01E+13,New York,"$40,000 to $49,999",67,Male,Employed - at work,Part time,0,495,585,90,450,0
2.01E+13,Colorado,"$75,000 to $99,999",63,Female,Employed - at work,Part time,0,385,385,0,735,0
2.01E+13,Michigan,"$40,000 to $49,999",61,Male,Employed - at work,Part time,315,360,360,0,410,0
2.01E+13,Washington,"$75,000 to $99,999",60,Male,Employed - at work,Full time,612,243,243,0,540,0
2.01E+13,New Jersey,"$75,000 to $99,999",52,Male,Employed - at work,Full time,0,600,660,60,499,0
2.01E+13,Pennsylvania,"$75,000 to $99,999",68,Male,Employed - at work,Part time,150,475,475,0,540,0
2.01E+13,Michigan,"$40,000 to $49,999",33,Male,Employed - at work,Full time,0,445,445,0,575,0
2.01E+13,Texas,"$60,000 to $74,999",54,Female,Employed - at work,Full time,485,25,95,70,575,0
2.01E+13,Florida,"$100,000 to $149,999",67,Male,Employed - at work,Part time,0,170,350,180,570,0
2.01E+13,Virginia,"$75,000 to $99,999",63,Male,Employed - at work,Full time,395,135,135,0,495,0
2.01E+13,Wisconsin,"$35,000 to $39,999",65,Female,Employed - at work,Part time,425,220,220,0,480,0
2.01E+13,New Jersey,"$100,000 to $149,999",58,Female,Employed - at work,Full time,0,135,135,0,435,0
2.01E+13,New York,"$60,000 to $74,999",65,Male,Employed - absent,Full time,0,807,807,0,450,0
2.01E+13,Oklahoma,"$20,000 to $24,999",61,Male,Employed - at work,Full time,0,635,635,0,600,0
2.01E+13,Arkansas,"$30,000 to $34,999",37,Female,Employed - at work,Full time,445,185,185,0,530,60
2.01E+13,Nebraska,"$60,000 to $74,999",59,Female,Employed - absent,Full time,180,265,265,0,510,0
2.01E+13,Colorado,"$150,000 and over",64,Female,Employed - at work,Full time,30,215,215,0,585,0
2.01E+13,Virginia,"$100,000 to $149,999",63,Female,Employed - at work,Full time,450,210,210,0,570,0
2.01E+13,Indiana,"$100,000 to $149,999",57,Male,Employed - at work,Full time,615,125,125,0,515,0
2.01E+13,New York,"$150,000 and over",60,Female,Employed - at work,Part time,452,60,60,0,600,0
2.01E+13,Florida,"$25,000 to $29,999",56,Male,Employed - at work,Full time,0,210,210,0,820,0
2.01E+13,Minnesota,"$50,000 to $59,999",74,Male,Employed - absent,Part time,0,755,755,0,540,0
2.01E+13,South Carolina,"$40,000 to $49,999",51,Male,Employed - at work,Full time,0,135,135,0,866,0
2.01E+13,West Virginia,"$75,000 to $99,999",58,Male,Employed - at work,Full time,750,195,195,0,260,0
2.01E+13,Pennsylvania,"$25,000 to $29,999",85,Female,Employed - at work,Part time,280,425,485,60,490,0
2.01E+13,New Jersey,"$75,000 to $99,999",52,Female,Employed - at work,Full time,0,250,250,0,620,0
2.01E+13,Illinois,"$75,000 to $99,999",60,Female,Employed - at work,Full time,810,90,90,0,330,0
2.01E+13,Pennsylvania,"$12,500 to $14,999",71,Female,Employed - at work,Part time,10,587,587,0,665,0
2.01E+13,Virginia,"$20,000 to $24,999",71,Female,Employed - at work,Part time,0,450,450,0,675,0
2.01E+13,Minnesota,"$25,000 to $29,999",72,Female,Employed - at work,Full time,35,455,475,20,470,0
2.01E+13,Alabama,"$150,000 and over",55,Female,Employed - at work,Full time,300,195,195,0,750,0
2.01E+13,Pennsylvania,"$40,000 to $49,999",77,Female,Employed - at work,Part time,300,120,120,0,745,0
2.01E+13,Indiana,"$25,000 to $29,999",54,Male,Employed - at work,Full time,360,360,390,30,540,0
2.01E+13,Colorado,"$150,000 and over",50,Male,Employed - at work,Full time,554,30,105,75,480,0
2.01E+13,Illinois,"$40,000 to $49,999",26,Female,Employed - at work,Part time,300,245,245,0,600,270
2.01E+13,Maryland,"$75,000 to $99,999",65,Male,Employed - at work,Full time,495,145,145,0,615,0
2.01E+13,Oklahoma,"$7,500 to $9,999",54,Male,Employed - at work,Full time,590,240,240,0,450,0
2.01E+13,Louisiana,"$60,000 to $74,999",55,Female,Employed - at work,Full time,0,400,400,0,700,0
2.01E+13,Illinois,"$15,000 to $19,999",55,Female,Employed - at work,Full time,270,430,430,0,480,0
2.01E+13,Georgia,"$10,000 to $12,499",29,Female,Employed - at work,Part time,30,217,337,120,530,252
2.01E+13,Tennessee,"$40,000 to $49,999",68,Female,Employed - at work,Full time,430,150,150,0,540,0
2.01E+13,Texas,"$75,000 to $99,999",57,Male,Employed - at work,Full time,0,342,342,0,585,0
2.01E+13,California,"$35,000 to $39,999",56,Male,Employed - at work,Full time,300,60,60,0,600,0
2.01E+13,Nevada,"$150,000 and over",63,Female,Employed - at work,Full time,180,210,210,0,631,0
2.01E+13,Colorado,"$100,000 to $149,999",61,Female,Employed - at work,Full time,0,640,640,0,615,0
2.01E+13,Ohio,"$60,000 to $74,999",61,Female,Employed - at work,Full time,515,157,157,0,450,0
2.01E+13,California,"$10,000 to $12,499",55,Female,Employed - at work,Full time,0,190,290,100,540,0
2.01E+13,Texas,"$75,000 to $99,999",62,Male,Employed - at work,Full time,615,120,120,0,425,0
2.01E+13,Kentucky,"$40,000 to $49,999",55,Female,Employed - at work,Part time,0,574,574,0,630,0
2.01E+13,Louisiana,"$20,000 to $24,999",51,Female,Employed - at work,Full time,878,15,15,0,335,0
2.01E+13,Wisconsin,"$40,000 to $49,999",53,Male,Employed - at work,Full time,525,240,240,0,565,0
2.01E+13,New York,"$100,000 to $149,999",67,Female,Employed - at work,Full time,230,295,295,0,630,0
2.01E+13,California,"$50,000 to $59,999",60,Female,Employed - at work,Full time,475,525,525,0,270,0
2.01E+13,New York,"$15,000 to $19,999",53,Female,Employed - at work,Part time,420,430,430,0,450,0
2.01E+13,Minnesota,"$60,000 to $74,999",62,Male,Employed - at work,Part time,285,165,165,0,660,0
2.01E+13,Illinois,"$75,000 to $99,999",53,Male,Employed - at work,Full time,0,0,0,0,810,0
2.01E+13,California,"$75,000 to $99,999",59,Female,Employed - at work,Full time,0,275,275,0,660,0
2.01E+13,Texas,"$20,000 to $24,999",30,Female,Employed - at work,Part time,0,435,435,0,920,30
2.01E+13,Georgia,"Less than $5,000",53,Female,Employed - at work,Part time,0,450,450,0,690,0
2.01E+13,California,"$50,000 to $59,999",65,Female,Employed - absent,Full time,0,150,150,0,600,0
2.01E+13,Texas,"$40,000 to $49,999",62,Female,Employed - at work,Full time,0,345,345,0,540,0
2.01E+13,Maryland,"$40,000 to $49,999",55,Female,Employed - at work,Full time,720,90,90,0,500,0
2.01E+13,North Carolina,"$12,500 to $14,999",62,Male,Employed - at work,Full time,0,480,480,0,780,0
2.01E+13,New York,"$150,000 and over",53,Male,Employed - at work,Full time,300,330,385,55,535,0
2.01E+13,New York,"$30,000 to $34,999",21,Female,Employed - at work,Part time,180,400,400,0,630,132
2.01E+13,Texas,"$30,000 to $34,999",63,Female,Employed - at work,Part time,320,245,245,0,570,0
2.01E+13,New York,"$150,000 and over",61,Male,Employed - at work,Full time,500,80,155,75,515,0
2.01E+13,Connecticut,"$100,000 to $149,999",58,Male,Employed - at work,Full time,565,28,28,0,590,0
2.01E+13,Illinois,"$35,000 to $39,999",63,Male,Employed - at work,Part time,430,185,245,60,490,0
2.01E+13,Florida,"$12,500 to $14,999",52,Female,Employed - at work,Full time,645,0,0,0,495,0
2.01E+13,Oregon,"$25,000 to $29,999",53,Male,Employed - at work,Full time,480,115,115,0,396,0
2.01E+13,New Jersey,"$40,000 to $49,999",59,Male,Employed - at work,Full time,450,363,363,0,445,0
2.01E+13,Colorado,"$75,000 to $99,999",55,Female,Employed - at work,Full time,555,225,225,0,435,0
2.01E+13,Montana,"$100,000 to $149,999",50,Male,Employed - at work,Full time,397,64,64,0,346,0
2.01E+13,California,"$60,000 to $74,999",56,Female,Employed - at work,Part time,450,237,237,0,330,0
2.01E+13,New Jersey,"$150,000 and over",60,Female,Employed - at work,Full time,0,390,390,0,630,0
2.01E+13,Minnesota,"$50,000 to $59,999",58,Male,Employed - at work,Full time,0,350,350,0,660,0
2.01E+13,Arizona,"$50,000 to $59,999",53,Female,Employed - at work,Full time,500,295,295,0,540,0
2.01E+13,Florida,"$10,000 to $12,499",69,Female,Employed - at work,Part time,0,746,746,0,480,0
2.01E+13,New York,"$25,000 to $29,999",58,Male,Employed - at work,Full time,0,195,195,0,790,0
2.01E+13,Ohio,"$40,000 to $49,999",51,Male,Employed - at work,Full time,0,525,525,0,620,0
2.01E+13,New Jersey,"$60,000 to $74,999",65,Male,Employed - at work,Full time,401,360,405,45,510,0
2.01E+13,Massachusetts,"$25,000 to $29,999",58,Male,Employed - absent,Part time,0,325,485,160,760,0
2.01E+13,Arkansas,"$150,000 and over",54,Female,Employed - at work,Full time,295,395,395,0,480,0
2.01E+13,Washington,"$50,000 to $59,999",52,Female,Employed - at work,Full time,0,675,675,0,400,0
2.01E+13,California,"$75,000 to $99,999",60,Female,Employed - at work,Full time,790,45,65,20,435,0
2.01E+13,Virginia,"$25,000 to $29,999",62,Female,Employed - at work,Full time,480,15,15,0,440,0
